invoice_id,subscription_id,customer_id,plan_id,invoice_date,amount
INV817,S180,C592,PY,2024-01-07,9700.0
INV9959,S1948,C6541,PY,2024-01-07,8800.0
INV10034,S1965,C6613,PY,2024-01-07,9200.0
INV11308,S2190,C7438,PY,2024-01-07,8700.0
INV11930,S2309,C7820,PY,2024-01-07,8600.0
INV12656,S2454,C8295,PY,2024-01-07,9100.0
INV12841,S2485,C8400,BM,2024-01-07,360.0
INV13210,S2556,C8687,PY,2024-01-07,10000.0
INV13342,S2587,C8795,BM,2024-01-07,396.0
INV13380,S2591,C8809,BY,2024-01-07,3960.0
INV13459,S2604,C8843,BY,2024-01-07,3600.0
INV14760,S2860,C9677,BY,2024-01-07,3920.0
INV15125,S2923,C9913,PY,2024-01-07,9600.0
INV15312,S2965,C10053,PM,2024-01-08,990.0
INV16351,S3152,C10682,BY,2024-01-08,3600.0
INV16634,S3204,C10853,PM,2024-01-08,950.0
INV17292,S3320,C11281,PM,2024-01-08,1000.0
INV17315,S3323,C11293,PM,2024-01-08,900.0
INV17534,S3358,C11404,PM,2024-01-08,890.0
INV18094,S3448,C11653,BM,2024-01-08,368.0
INV18185,S3470,C11747,BM,2024-01-08,376.0
INV18680,S3561,C12039,PM,2024-01-08,920.0
INV19336,S3694,C12505,PY,2024-01-08,8800.0
INV19373,S3704,C12556,BM,2024-01-08,372.0
INV19496,S3727,C12646,PY,2024-01-08,9300.0
INV19587,S3742,C12698,PM,2024-01-08,950.0
INV19827,S3792,C12890,BM,2024-01-08,360.0
INV19912,S3808,C12962,BY,2024-01-08,3960.0
INV20118,S3845,C13107,PY,2024-01-08,10000.0
INV20230,S3864,C13169,PM,2024-01-08,900.0
