subscription_id,contract_id,customer_id,plan_id,billing_type,subscription_start_date,subscription_status
S48,CT48,C165,PM,Monthly,2024-02-19,Active
S49,CT49,C174,PY,Yearly,2024-01-31,Active
S50,CT50,C176,PM,Monthly,2024-01-17,Active
S51,CT51,C186,BM,Monthly,2024-01-09,Active
S52,CT52,C191,BY,Yearly,2024-02-21,Active
S53,CT53,C195,BY,Yearly,2024-02-09,Active
S54,CT54,C202,PY,Yearly,2024-01-31,Active
S55,CT55,C207,PY,Yearly,2024-02-08,Active
S56,CT56,C210,BM,Monthly,2024-01-25,Active
S57,CT57,C211,BY,Yearly,2024-02-02,Active
S58,CT58,C213,BM,Monthly,2024-02-23,Active
S59,CT59,C221,BY,Yearly,2024-02-14,Active
S60,CT60,C222,BY,Yearly,2024-02-13,Active
S61,CT61,C227,BM,Monthly,2024-02-25,Active
S62,CT62,C228,PM,Monthly,2024-01-28,Active
S63,CT63,C229,BM,Monthly,2024-01-25,Active
S64,CT64,C231,PM,Monthly,2024-01-18,Active
S65,CT65,C232,PY,Yearly,2024-02-08,Active
S66,CT66,C234,PY,Yearly,2024-02-01,Active
S67,CT67,C236,PY,Yearly,2024-01-29,Active
S68,CT68,C241,PM,Monthly,2024-02-27,Active
S69,CT69,C242,BY,Yearly,2024-01-31,Active
S70,CT70,C247,BM,Monthly,2024-02-08,Active
S71,CT71,C251,PM,Monthly,2024-01-29,Active
S72,CT72,C252,BM,Monthly,2024-02-27,Active
S73,CT73,C254,BM,Monthly,2024-02-28,Active
S74,CT74,C256,BY,Yearly,2024-02-26,Active
S75,CT75,C259,PY,Yearly,2024-02-12,Active
S76,CT76,C262,PM,Monthly,2024-02-25,Active
S77,CT77,C263,BM,Monthly,2024-01-12,Active
S78,CT78,C267,PY,Yearly,2024-02-21,Active
S79,CT79,C271,PM,Monthly,2024-01-18,Active
S80,CT80,C274,PY,Yearly,2024-01-12,Active
S81,CT81,C284,BY,Yearly,2024-01-10,Active
S82,CT82,C287,BM,Monthly,2024-01-21,Active
S83,CT83,C288,BM,Monthly,2024-02-19,Active
S84,CT84,C292,BY,Yearly,2024-03-04,Active
S85,CT85,C296,PY,Yearly,2024-01-30,Active
S86,CT86,C298,BY,Yearly,2024-02-13,Active
S87,CT87,C299,BM,Monthly,2024-02-20,Active
S88,CT88,C302,BM,Monthly,2024-01-31,Active
S89,CT89,C303,BY,Yearly,2024-02-22,Active
S90,CT90,C307,PY,Yearly,2024-02-06,Active
S91,CT91,C310,PM,Monthly,2024-02-29,Active
S92,CT92,C313,PY,Yearly,2024-01-04,Active
S93,CT93,C314,BY,Yearly,2024-02-29,Active
S94,CT94,C319,BY,Yearly,2024-01-25,Active
S95,CT95,C320,PM,Monthly,2024-01-24,Active
S96,CT96,C322,BM,Monthly,2024-01-30,Active
S97,CT97,C323,PY,Yearly,2024-02-06,Active
S98,CT98,C328,BY,Yearly,2024-01-15,Active
S99,CT99,C330,PY,Yearly,2024-02-19,Active
S100,CT100,C334,BY,Yearly,2024-01-11,Active
S101,CT101,C342,PY,Yearly,2024-01-09,Active
S102,CT102,C346,BY,Yearly,2024-01-14,Active
S103,CT103,C347,BY,Yearly,2024-01-05,Active
S104,CT104,C348,PY,Yearly,2024-02-02,Active
S105,CT105,C353,BM,Monthly,2024-02-27,Active
S106,CT106,C358,PY,Yearly,2024-02-10,Active
S107,CT107,C359,BM,Monthly,2024-01-24,Active
S108,CT108,C364,PM,Monthly,2024-02-01,Active
S109,CT109,C365,BY,Yearly,2024-01-09,Active
S110,CT110,C366,BY,Yearly,2024-01-26,Active
S111,CT111,C367,PM,Monthly,2024-01-09,Active
S112,CT112,C369,BY,Yearly,2024-02-05,Active
S113,CT113,C373,PM,Monthly,2024-02-05,Active
S114,CT114,C378,BM,Monthly,2024-01-23,Active
S115,CT115,C381,PY,Yearly,2024-02-11,Active
S116,CT116,C383,PY,Yearly,2024-01-04,Active
S117,CT117,C384,BM,Monthly,2024-01-11,Active
S118,CT118,C387,BY,Yearly,2024-01-28,Active
S119,CT119,C391,BY,Yearly,2024-03-03,Active
S120,CT120,C393,PY,Yearly,2024-01-25,Active
S121,CT121,C394,PY,Yearly,2024-01-13,Active
S122,CT122,C406,PY,Yearly,2024-02-21,Active
S123,CT123,C409,PY,Yearly,2024-02-29,Active
S124,CT124,C412,PY,Yearly,2024-02-26,Active
S125,CT125,C415,BY,Yearly,2024-02-08,Active
S126,CT126,C420,PM,Monthly,2024-02-12,Active
S127,CT127,C422,PM,Monthly,2024-02-07,Active
S128,CT128,C424,BY,Yearly,2024-01-28,Active
S129,CT129,C425,PY,Yearly,2024-01-14,Active
S130,CT130,C427,BM,Monthly,2024-01-23,Active
S131,CT131,C428,PY,Yearly,2024-02-27,Active
S132,CT132,C436,PY,Yearly,2024-01-21,Active
S133,CT133,C438,PY,Yearly,2024-01-12,Active
S134,CT134,C441,BM,Monthly,2024-01-30,Active
S135,CT135,C442,PY,Yearly,2024-01-30,Active
S136,CT136,C445,PY,Yearly,2024-02-26,Active
S137,CT137,C446,BY,Yearly,2024-02-26,Active
S138,CT138,C451,PM,Monthly,2024-01-26,Active
S139,CT139,C457,PM,Monthly,2024-01-26,Active
S140,CT140,C460,BY,Yearly,2024-01-22,Active
S141,CT141,C463,PM,Monthly,2024-02-25,Active
S142,CT142,C466,BY,Yearly,2024-01-23,Active
S143,CT143,C468,BM,Monthly,2024-02-27,Active
S144,CT144,C469,BM,Monthly,2024-01-26,Active
S145,CT145,C471,BM,Monthly,2024-01-30,Active
S146,CT146,C472,PY,Yearly,2024-02-25,Active
S147,CT147,C481,PY,Yearly,2024-02-11,Active
S148,CT148,C482,PM,Monthly,2024-02-22,Active
S149,CT149,C483,BM,Monthly,2024-01-16,Active
S150,CT150,C486,PM,Monthly,2024-02-02,Active
S151,CT151,C489,BM,Monthly,2024-01-07,Active
S152,CT152,C495,BM,Monthly,2024-02-29,Active
S153,CT153,C498,PY,Yearly,2024-01-31,Active
S154,CT154,C500,PY,Yearly,2024-03-01,Active
S155,CT155,C507,PY,Yearly,2024-02-29,Active
S156,CT156,C508,BY,Yearly,2024-01-16,Active
S157,CT157,C511,BM,Monthly,2024-02-07,Active
S158,CT158,C513,BY,Yearly,2024-01-19,Active
S159,CT159,C516,BY,Yearly,2024-01-22,Active
S160,CT160,C520,PM,Monthly,2024-01-17,Active
S161,CT161,C523,PM,Monthly,2024-01-31,Active
S162,CT162,C528,PM,Monthly,2024-02-23,Active
S163,CT163,C529,PM,Monthly,2024-01-05,Active
S164,CT164,C530,PM,Monthly,2024-01-29,Active
S165,CT165,C533,BM,Monthly,2024-01-26,Active
S166,CT166,C536,PM,Monthly,2024-01-16,Active
S167,CT167,C540,PM,Monthly,2024-01-31,Active
S168,CT168,C544,PM,Monthly,2024-02-28,Active
S169,CT169,C551,BM,Monthly,2024-01-26,Active
S170,CT170,C552,PY,Yearly,2024-03-03,Active
S171,CT171,C557,PY,Yearly,2024-02-01,Active
S172,CT172,C558,PM,Monthly,2024-02-13,Active
S173,CT173,C572,BY,Yearly,2024-01-29,Active
S174,CT174,C575,BY,Yearly,2024-01-14,Active
S175,CT175,C577,BM,Monthly,2024-02-20,Active
S176,CT176,C578,PM,Monthly,2024-01-20,Active
S177,CT177,C580,PM,Monthly,2024-02-28,Active
S178,CT178,C582,BM,Monthly,2024-03-03,Active
S179,CT179,C586,BY,Yearly,2024-01-20,Active
S180,CT180,C592,PY,Yearly,2024-01-05,Active
S181,CT181,C593,BM,Monthly,2024-01-13,Active
S182,CT182,C595,PY,Yearly,2024-01-27,Active
S183,CT183,C599,PY,Yearly,2024-03-02,Active
S184,CT184,C601,BM,Monthly,2024-02-17,Active
S185,CT185,C602,PY,Yearly,2024-01-23,Active
S186,CT186,C622,PM,Monthly,2024-02-05,Active
S187,CT187,C623,BY,Yearly,2024-01-02,Active
S188,CT188,C630,BY,Yearly,2024-01-13,Active
S189,CT189,C633,BM,Monthly,2024-02-26,Active
S190,CT190,C634,BM,Monthly,2024-01-28,Active
S191,CT191,C637,BM,Monthly,2024-02-13,Active
S192,CT192,C646,BM,Monthly,2024-02-17,Active
S193,CT193,C653,BY,Yearly,2024-01-08,Active
S194,CT194,C656,BM,Monthly,2024-02-16,Active
S195,CT195,C662,BY,Yearly,2024-02-26,Active
S196,CT196,C666,BM,Monthly,2024-01-09,Active
S197,CT197,C671,BM,Monthly,2024-01-31,Active
S198,CT198,C674,PM,Monthly,2024-01-13,Active
S199,CT199,C685,BM,Monthly,2024-02-07,Active
S200,CT200,C687,PM,Monthly,2024-02-08,Active
S201,CT201,C690,PM,Monthly,2024-01-04,Active
S202,CT202,C691,PM,Monthly,2024-01-03,Active
S203,CT203,C693,BM,Monthly,2024-03-01,Active
S204,CT204,C696,PY,Yearly,2024-01-19,Active
S205,CT205,C705,BM,Monthly,2024-02-04,Active
S206,CT206,C706,BM,Monthly,2024-01-08,Active
S207,CT207,C710,PY,Yearly,2024-01-30,Active
S208,CT208,C713,BM,Monthly,2024-02-22,Active
S209,CT209,C715,PY,Yearly,2024-01-27,Active
S210,CT210,C717,BY,Yearly,2024-02-09,Active
S211,CT211,C718,PY,Yearly,2024-02-19,Active
S212,CT212,C720,PY,Yearly,2024-01-14,Active
S213,CT213,C721,PM,Monthly,2024-01-15,Active
S214,CT214,C728,BY,Yearly,2024-01-08,Active
S215,CT215,C730,PY,Yearly,2024-01-15,Active
S216,CT216,C737,PY,Yearly,2024-02-18,Active
S217,CT217,C741,BY,Yearly,2024-01-22,Active
S218,CT218,C744,BM,Monthly,2024-02-02,Active
S219,CT219,C747,BY,Yearly,2024-02-28,Active
S220,CT220,C753,PM,Monthly,2024-02-03,Active
S221,CT221,C754,PM,Monthly,2024-01-12,Active
S222,CT222,C756,PM,Monthly,2024-02-15,Active
S223,CT223,C758,BY,Yearly,2024-02-13,Active
S224,CT224,C760,BY,Yearly,2024-02-14,Active
S225,CT225,C762,PM,Monthly,2024-01-24,Active
S226,CT226,C765,BM,Monthly,2024-01-29,Active
S227,CT227,C767,BM,Monthly,2024-02-18,Active
S228,CT228,C770,BM,Monthly,2024-02-10,Active
S229,CT229,C772,BM,Monthly,2024-01-20,Active
S230,CT230,C780,BY,Yearly,2024-02-26,Active
S231,CT231,C782,BY,Yearly,2024-01-16,Active
S232,CT232,C786,BM,Monthly,2024-02-16,Active
S233,CT233,C796,BY,Yearly,2024-02-27,Active
S234,CT234,C804,BM,Monthly,2024-01-15,Active
S235,CT235,C811,BY,Yearly,2024-01-23,Active
S236,CT236,C813,BM,Monthly,2024-01-08,Active
S237,CT237,C826,PY,Yearly,2024-02-14,Active
S238,CT238,C831,BM,Monthly,2024-01-02,Active
S239,CT239,C832,BM,Monthly,2024-02-19,Active
S240,CT240,C835,BM,Monthly,2024-01-22,Active
S241,CT241,C836,PY,Yearly,2024-01-20,Active
S242,CT242,C839,PY,Yearly,2024-02-05,Active
S243,CT243,C844,BY,Yearly,2024-02-27,Active
S244,CT244,C845,BM,Monthly,2024-02-24,Active
S245,CT245,C847,PM,Monthly,2024-01-10,Active
S246,CT246,C849,BY,Yearly,2024-02-25,Active
S247,CT247,C853,BM,Monthly,2024-01-07,Active
S248,CT248,C855,BY,Yearly,2024-02-12,Active
S249,CT249,C856,BM,Monthly,2024-02-21,Active
S250,CT250,C857,BY,Yearly,2024-02-11,Active
S251,CT251,C859,PM,Monthly,2024-02-10,Active
S252,CT252,C860,BY,Yearly,2024-01-04,Active
S253,CT253,C861,PY,Yearly,2024-01-19,Active
S254,CT254,C864,PM,Monthly,2024-02-25,Active
S255,CT255,C868,PM,Monthly,2024-03-02,Active
S256,CT256,C880,BM,Monthly,2024-01-29,Active
S257,CT257,C883,BY,Yearly,2024-01-05,Active
S258,CT258,C884,PY,Yearly,2024-01-17,Active
S259,CT259,C885,PY,Yearly,2024-02-17,Active
S260,CT260,C890,BM,Monthly,2024-01-14,Active
S261,CT261,C891,BY,Yearly,2024-02-16,Active
S262,CT262,C893,BM,Monthly,2024-01-11,Active
S263,CT263,C894,BM,Monthly,2024-01-09,Active
S264,CT264,C895,PY,Yearly,2024-01-27,Active
S265,CT265,C896,PY,Yearly,2024-02-05,Active
S266,CT266,C900,BY,Yearly,2024-02-03,Active
S267,CT267,C901,BM,Monthly,2024-01-20,Active
S268,CT268,C902,PY,Yearly,2024-01-06,Active
S269,CT269,C907,PM,Monthly,2024-02-17,Active
S270,CT270,C908,BY,Yearly,2024-03-04,Active
S271,CT271,C909,BY,Yearly,2024-01-16,Active
S272,CT272,C911,BY,Yearly,2024-03-03,Active
S273,CT273,C915,PY,Yearly,2024-02-25,Active
S274,CT274,C916,PM,Monthly,2024-02-15,Active
S275,CT275,C921,BM,Monthly,2024-02-18,Active
S276,CT276,C923,BM,Monthly,2024-01-11,Active
S277,CT277,C925,BM,Monthly,2024-01-10,Active
S278,CT278,C928,PY,Yearly,2024-01-18,Active
S279,CT279,C932,PY,Yearly,2024-01-21,Active
S280,CT280,C937,PM,Monthly,2024-02-03,Active
S281,CT281,C945,BM,Monthly,2024-01-26,Active
S282,CT282,C948,PY,Yearly,2024-02-25,Active
S283,CT283,C949,PM,Monthly,2024-02-17,Active
S284,CT284,C961,BM,Monthly,2024-01-03,Active
S285,CT285,C964,BY,Yearly,2024-03-01,Active
S286,CT286,C966,BM,Monthly,2024-02-16,Active
S287,CT287,C972,BY,Yearly,2024-01-28,Active
S288,CT288,C973,BM,Monthly,2024-01-08,Active
S289,CT289,C983,PY,Yearly,2024-02-07,Active
S290,CT290,C989,PM,Monthly,2024-02-23,Active
S291,CT291,C993,PM,Monthly,2024-01-25,Active
S292,CT292,C994,PY,Yearly,2024-02-10,Active
S293,CT293,C996,BM,Monthly,2024-02-06,Active
S294,CT294,C999,PY,Yearly,2024-01-25,Active
S295,CT295,C1000,BY,Yearly,2024-02-22,Active
S296,CT296,C1005,BM,Monthly,2024-01-20,Active
S297,CT297,C1008,BM,Monthly,2024-01-20,Active
S298,CT298,C1009,PY,Yearly,2024-02-11,Active
S299,CT299,C1015,BM,Monthly,2024-03-03,Active
S300,CT300,C1028,BY,Yearly,2024-01-03,Active
S301,CT301,C1031,BY,Yearly,2024-01-22,Active
S302,CT302,C1038,BY,Yearly,2024-01-18,Active
S303,CT303,C1039,BM,Monthly,2024-01-12,Active
S304,CT304,C1040,BY,Yearly,2024-02-14,Active
S305,CT305,C1042,PM,Monthly,2024-01-31,Active
S306,CT306,C1043,BY,Yearly,2024-02-18,Active
S307,CT307,C1046,BY,Yearly,2024-02-23,Active
S308,CT308,C1047,BY,Yearly,2024-02-27,Active
S309,CT309,C1048,BM,Monthly,2024-01-12,Active
S310,CT310,C1050,BM,Monthly,2024-01-23,Active
S311,CT311,C1051,PM,Monthly,2024-02-14,Active
S312,CT312,C1054,BY,Yearly,2024-02-17,Active
S313,CT313,C1055,BM,Monthly,2024-02-13,Active
S314,CT314,C1063,BY,Yearly,2024-01-14,Active
S315,CT315,C1064,BM,Monthly,2024-01-07,Active
S316,CT316,C1077,PM,Monthly,2024-02-28,Active
S317,CT317,C1082,BM,Monthly,2024-02-20,Active
S318,CT318,C1084,PY,Yearly,2024-02-18,Active
S319,CT319,C1085,PM,Monthly,2024-02-24,Active
S320,CT320,C1088,PY,Yearly,2024-02-28,Active
S321,CT321,C1093,PY,Yearly,2024-02-15,Active
S322,CT322,C1096,PM,Monthly,2024-02-08,Active
S323,CT323,C1098,PM,Monthly,2024-01-08,Active
S324,CT324,C1100,BY,Yearly,2024-02-06,Active
S325,CT325,C1102,PM,Monthly,2024-01-24,Active
S326,CT326,C1104,BM,Monthly,2024-02-15,Active
S327,CT327,C1105,PM,Monthly,2024-01-26,Active
S328,CT328,C1109,PM,Monthly,2024-02-26,Active
S329,CT329,C1110,BY,Yearly,2024-01-28,Active
S330,CT330,C1112,BM,Monthly,2024-02-10,Active
S331,CT331,C1117,BY,Yearly,2024-01-15,Active
S332,CT332,C1119,BM,Monthly,2024-02-20,Active
S333,CT333,C1122,BY,Yearly,2024-01-20,Active
S334,CT334,C1125,PM,Monthly,2024-01-03,Active
S335,CT335,C1126,PY,Yearly,2024-02-14,Active
S336,CT336,C1127,PY,Yearly,2024-01-17,Active
S337,CT337,C1131,PM,Monthly,2024-02-24,Active
S338,CT338,C1132,PM,Monthly,2024-02-23,Active
S339,CT339,C1135,BY,Yearly,2024-01-16,Active
S340,CT340,C1138,PM,Monthly,2024-01-08,Active
S341,CT341,C1141,PM,Monthly,2024-01-20,Active
S342,CT342,C1142,BM,Monthly,2024-02-23,Active
S343,CT343,C1147,BY,Yearly,2024-01-02,Active
S344,CT344,C1151,BM,Monthly,2024-02-08,Active
S345,CT345,C1152,BM,Monthly,2024-03-02,Active
S346,CT346,C1154,PM,Monthly,2024-02-04,Active
S347,CT347,C1156,BM,Monthly,2024-02-23,Active
S348,CT348,C1158,BM,Monthly,2024-03-02,Active
S349,CT349,C1165,BM,Monthly,2024-02-17,Active
S350,CT350,C1170,BY,Yearly,2024-01-24,Active
S351,CT351,C1171,PY,Yearly,2024-02-06,Active
S352,CT352,C1172,BY,Yearly,2024-01-15,Active
S353,CT353,C1175,BM,Monthly,2024-01-19,Active
S354,CT354,C1176,BY,Yearly,2024-02-16,Active
S355,CT355,C1177,BY,Yearly,2024-02-09,Active
S356,CT356,C1180,BY,Yearly,2024-01-15,Active
S357,CT357,C1184,PY,Yearly,2024-01-30,Active
S358,CT358,C1186,PY,Yearly,2024-03-01,Active
S359,CT359,C1189,BY,Yearly,2024-01-10,Active
S360,CT360,C1197,PM,Monthly,2024-01-28,Active
S361,CT361,C1199,BY,Yearly,2024-02-01,Active
S362,CT362,C1200,BM,Monthly,2024-01-26,Active
S363,CT363,C1205,BM,Monthly,2024-02-11,Active
S364,CT364,C1208,PM,Monthly,2024-01-17,Active
S365,CT365,C1211,BM,Monthly,2024-02-21,Active
S366,CT366,C1213,PM,Monthly,2024-02-18,Active
S367,CT367,C1216,BM,Monthly,2024-02-28,Active
S368,CT368,C1217,PM,Monthly,2024-02-24,Active
S369,CT369,C1220,BY,Yearly,2024-02-07,Active
S370,CT370,C1221,BM,Monthly,2024-01-09,Active
S371,CT371,C1222,PM,Monthly,2024-02-08,Active
S372,CT372,C1223,BM,Monthly,2024-01-15,Active
S373,CT373,C1224,BY,Yearly,2024-02-20,Active
S374,CT374,C1225,BM,Monthly,2024-02-21,Active
S375,CT375,C1227,BY,Yearly,2024-01-12,Active
S376,CT376,C1244,BY,Yearly,2024-01-04,Active
S377,CT377,C1245,BY,Yearly,2024-01-25,Active
S378,CT378,C1247,PM,Monthly,2024-01-07,Active
S379,CT379,C1248,PM,Monthly,2024-03-02,Active
S380,CT380,C1250,PY,Yearly,2024-02-20,Active
S381,CT381,C1252,PM,Monthly,2024-01-15,Active
S382,CT382,C1253,PY,Yearly,2024-02-04,Active
S383,CT383,C1262,BY,Yearly,2024-02-05,Active
S384,CT384,C1263,BY,Yearly,2024-01-18,Active
S385,CT385,C1272,PM,Monthly,2024-01-07,Active
S386,CT386,C1278,BY,Yearly,2024-02-14,Active
S387,CT387,C1279,BM,Monthly,2024-03-01,Active
S388,CT388,C1281,PM,Monthly,2024-02-08,Active
S389,CT389,C1283,BM,Monthly,2024-01-26,Active
S390,CT390,C1285,BY,Yearly,2024-02-21,Active
S391,CT391,C1289,PY,Yearly,2024-01-27,Active
S392,CT392,C1295,PY,Yearly,2024-03-02,Active
S393,CT393,C1296,PM,Monthly,2024-02-15,Active
S394,CT394,C1297,BY,Yearly,2024-03-02,Active
S395,CT395,C1302,PY,Yearly,2024-02-09,Active
S396,CT396,C1303,BY,Yearly,2024-02-16,Active
S397,CT397,C1304,PM,Monthly,2024-01-27,Active
S398,CT398,C1307,PY,Yearly,2024-02-03,Active
S399,CT399,C1308,PY,Yearly,2024-02-10,Active
S400,CT400,C1310,PY,Yearly,2024-01-12,Active
S401,CT401,C1313,BM,Monthly,2024-02-26,Active
S402,CT402,C1314,BM,Monthly,2024-01-24,Active
S403,CT403,C1315,PM,Monthly,2024-02-16,Active
S404,CT404,C1324,PM,Monthly,2024-02-07,Active
S405,CT405,C1328,BM,Monthly,2024-01-09,Active
S406,CT406,C1329,PM,Monthly,2024-01-09,Active
S407,CT407,C1331,PM,Monthly,2024-01-30,Active
S408,CT408,C1334,PY,Yearly,2024-02-27,Active
S409,CT409,C1337,BY,Yearly,2024-02-10,Active
S410,CT410,C1339,PM,Monthly,2024-02-06,Active
S411,CT411,C1340,PM,Monthly,2024-02-15,Active
S412,CT412,C1342,PY,Yearly,2024-02-17,Active
S413,CT413,C1343,BY,Yearly,2024-01-05,Active
S414,CT414,C1344,BM,Monthly,2024-02-01,Active
S415,CT415,C1345,BY,Yearly,2024-02-23,Active
S416,CT416,C1347,BY,Yearly,2024-02-10,Active
S417,CT417,C1356,PY,Yearly,2024-02-13,Active
S418,CT418,C1363,BM,Monthly,2024-01-30,Active
S419,CT419,C1369,BM,Monthly,2024-02-21,Active
S420,CT420,C1370,PM,Monthly,2024-01-23,Active
S421,CT421,C1374,PM,Monthly,2024-01-16,Active
S422,CT422,C1375,BY,Yearly,2024-02-04,Active
S423,CT423,C1376,BM,Monthly,2024-02-10,Active
S424,CT424,C1378,BM,Monthly,2024-01-16,Active
S425,CT425,C1382,PY,Yearly,2024-02-18,Active
S426,CT426,C1383,BY,Yearly,2024-01-25,Active
S427,CT427,C1384,PY,Yearly,2024-01-10,Active
S428,CT428,C1386,PY,Yearly,2024-02-23,Active
S429,CT429,C1388,PY,Yearly,2024-01-10,Active
S430,CT430,C1389,BY,Yearly,2024-01-25,Active
S431,CT431,C1392,PM,Monthly,2024-02-18,Active
S432,CT432,C1397,BY,Yearly,2024-02-20,Active
S433,CT433,C1400,BM,Monthly,2024-02-20,Active
S434,CT434,C1401,BY,Yearly,2024-02-21,Active
S435,CT435,C1402,BY,Yearly,2024-02-17,Active
S436,CT436,C1404,PM,Monthly,2024-01-02,Active
S437,CT437,C1407,PM,Monthly,2024-02-10,Active
S438,CT438,C1409,BY,Yearly,2024-02-09,Active
S439,CT439,C1416,PY,Yearly,2024-02-29,Active
S440,CT440,C1417,BM,Monthly,2024-01-12,Active
S441,CT441,C1418,BY,Yearly,2024-01-23,Active
S442,CT442,C1423,BY,Yearly,2024-01-11,Active
S443,CT443,C1424,BY,Yearly,2024-02-27,Active
S444,CT444,C1429,PM,Monthly,2024-02-07,Active
S445,CT445,C1430,BY,Yearly,2024-02-26,Active
S446,CT446,C1431,BM,Monthly,2024-02-03,Active
S447,CT447,C1432,BM,Monthly,2024-02-06,Active
S448,CT448,C1435,PY,Yearly,2024-01-13,Active
S449,CT449,C1436,PM,Monthly,2024-02-28,Active
S450,CT450,C1437,PM,Monthly,2024-01-07,Active
S451,CT451,C1444,BY,Yearly,2024-01-28,Active
S452,CT452,C1450,PY,Yearly,2024-02-01,Active
S453,CT453,C1451,PY,Yearly,2024-01-11,Active
S454,CT454,C1452,BM,Monthly,2024-01-17,Active
S455,CT455,C1458,PY,Yearly,2024-01-18,Active
S456,CT456,C1463,BM,Monthly,2024-02-12,Active
S457,CT457,C1466,PM,Monthly,2024-02-24,Active
S458,CT458,C1477,BY,Yearly,2024-01-06,Active
S459,CT459,C1478,PY,Yearly,2024-02-27,Active
S460,CT460,C1480,PY,Yearly,2024-01-16,Active
S461,CT461,C1487,BY,Yearly,2024-02-08,Active
S462,CT462,C1489,BM,Monthly,2024-01-26,Active
S463,CT463,C1490,BM,Monthly,2024-02-28,Active
S464,CT464,C1496,BM,Monthly,2024-01-20,Active
S465,CT465,C1497,PY,Yearly,2024-01-08,Active
S466,CT466,C1501,BY,Yearly,2024-02-08,Active
S467,CT467,C1503,PM,Monthly,2024-01-28,Active
S468,CT468,C1504,BY,Yearly,2024-01-17,Active
S469,CT469,C1505,BY,Yearly,2024-01-04,Active
S470,CT470,C1519,PY,Yearly,2024-02-16,Active
S471,CT471,C1528,BM,Monthly,2024-03-01,Active
S472,CT472,C1533,PM,Monthly,2024-01-11,Active
S473,CT473,C1535,BY,Yearly,2024-01-19,Active
S474,CT474,C1541,BY,Yearly,2024-01-19,Active
S475,CT475,C1542,BY,Yearly,2024-01-11,Active
S476,CT476,C1543,PY,Yearly,2024-01-24,Active
S477,CT477,C1552,BM,Monthly,2024-02-02,Active
S478,CT478,C1553,BY,Yearly,2024-01-18,Active
S479,CT479,C1565,BY,Yearly,2024-02-02,Active
S480,CT480,C1566,BY,Yearly,2024-01-24,Active
S481,CT481,C1569,BY,Yearly,2024-02-05,Active
S482,CT482,C1572,PY,Yearly,2024-02-23,Active
S483,CT483,C1575,PY,Yearly,2024-01-24,Active
S484,CT484,C1576,BY,Yearly,2024-02-28,Active
S485,CT485,C1579,PM,Monthly,2024-02-23,Active
S486,CT486,C1587,BM,Monthly,2024-01-04,Active
S487,CT487,C1591,PY,Yearly,2024-01-03,Active
S488,CT488,C1595,PY,Yearly,2024-01-15,Active
S489,CT489,C1596,PY,Yearly,2024-02-22,Active
S490,CT490,C1597,PY,Yearly,2024-02-15,Active
