payment_id,invoice_id,customer_id,payment_date,amount_paid,payment_status
PAY83,INV60058,C38999,2024-01-12,3600.0,Paid
PAY84,INV60312,C39186,2024-01-11,400.0,Paid
PAY85,INV7314,C4800,2024-01-08,3920.0,Paid
PAY86,INV7867,C5187,2024-01-18,1914.76,Partial
PAY87,INV8280,C5395,2024-01-06,8700.0,Paid
PAY88,INV8707,C5673,2024-01-17,2123.73,Partial
PAY89,INV9879,C6502,2024-01-11,3720.0,Paid
PAY90,INV10983,C7249,2024-01-11,1752.55,Partial
PAY91,INV11692,C7664,2024-01-07,3920.0,Paid
PAY92,INV12099,C7953,2024-01-23,2587.42,Partial
PAY93,INV1220,C860,2024-01-12,3960.0,Paid
PAY94,INV13682,C9025,2024-01-09,8900.0,Paid
PAY95,INV13854,C9158,2024-01-13,9300.0,Paid
PAY96,INV1381,C961,2024-01-13,360.0,Paid
PAY97,INV14708,C9647,2024-01-05,9500.0,Paid
PAY98,INV14907,C9777,2024-01-27,950.0,Late
PAY99,INV15617,C10236,2024-01-09,1000.0,Paid
PAY100,INV15774,C10340,2024-01-14,3680.0,Paid
PAY101,INV16042,C10505,2024-01-11,970.0,Paid
PAY102,INV16689,C10880,2024-01-05,360.0,Paid
PAY103,INV18633,C12008,2024-01-10,8600.0,Paid
PAY104,INV18709,C12063,,0.0,Failed
PAY105,INV18754,C12100,2024-01-14,3920.0,Paid
PAY106,INV19078,C12320,2024-01-10,396.0,Paid
PAY107,INV19218,C12415,2024-02-01,880.0,Late
PAY108,INV1912,C1244,2024-01-10,3960.0,Paid
PAY109,INV166,C126,2024-01-22,3656.12,Partial
PAY110,INV19442,C12617,2024-01-09,8700.0,Paid
PAY111,INV19929,C12999,2024-01-12,392.0,Paid
PAY112,INV21392,C13897,2024-01-14,4000.0,Paid
PAY113,INV21393,C13899,2024-01-12,10000.0,Paid
PAY114,INV22115,C14413,2024-01-11,3840.0,Paid
PAY115,INV22213,C14450,2024-01-06,8700.0,Paid
PAY116,INV23861,C15404,2024-01-26,930.0,Late
PAY117,INV25022,C16178,,0.0,Failed
PAY118,INV25142,C16244,2024-01-10,360.0,Paid
PAY119,INV25745,C16618,2024-01-11,3760.0,Paid
PAY120,INV2626,C1697,2024-01-05,372.0,Paid
PAY121,INV26694,C17255,2024-01-23,9700.0,Late
PAY122,INV2794,C1790,2024-01-13,970.0,Paid
PAY123,INV27711,C17987,2024-01-07,3600.0,Paid
PAY124,INV30423,C19496,2024-01-16,2282.95,Partial
PAY125,INV30794,C19745,2024-01-13,3600.0,Paid
PAY126,INV30796,C19755,2024-01-11,870.0,Paid
PAY127,INV31177,C19951,2024-01-10,8700.0,Paid
PAY128,INV32821,C21025,2024-01-06,3600.0,Paid
PAY129,INV3263,C2119,,0.0,Failed
PAY130,INV33125,C21243,2024-01-22,2911.5,Partial
PAY131,INV34236,C21981,2024-01-11,199.73,Partial
PAY132,INV36246,C23221,2024-01-24,334.06,Partial
PAY133,INV36315,C23261,2024-01-06,870.0,Paid
PAY134,INV37228,C23857,2024-01-10,8800.0,Paid
PAY135,INV37934,C24305,2024-01-14,3800.0,Paid
PAY136,INV38318,C24522,2024-01-23,140.52,Partial
PAY137,INV38704,C24759,2024-01-10,8900.0,Paid
PAY138,INV38708,C24771,2024-01-08,360.0,Paid
PAY139,INV38863,C24880,2024-01-10,372.0,Paid
PAY140,INV39500,C25209,2024-01-13,990.0,Paid
PAY141,INV39512,C25211,2024-01-05,9000.0,Paid
PAY142,INV39886,C25529,2024-01-08,9900.0,Paid
PAY143,INV40804,C26104,2024-01-05,9600.0,Paid
PAY144,INV40850,C26171,2024-01-14,3960.0,Paid
PAY145,INV41491,C26578,2024-01-14,392.0,Paid
PAY146,INV4305,C2773,2024-01-07,10000.0,Paid
PAY147,INV43305,C27869,2024-01-13,3600.0,Paid
PAY148,INV43850,C28218,2024-01-06,3600.0,Paid
PAY149,INV44245,C28464,2024-01-07,3800.0,Paid
PAY150,INV44896,C28887,2024-01-24,396.46,Partial
PAY151,INV45573,C29367,2024-01-09,10000.0,Paid
PAY152,INV4609,C2990,2024-01-06,10000.0,Paid
PAY153,INV47980,C30964,2024-01-11,634.12,Partial
PAY154,INV451,C313,2024-01-13,8600.0,Paid
PAY155,INV48706,C31442,2024-01-11,950.0,Paid
PAY156,INV49017,C31655,2024-01-14,9100.0,Paid
PAY157,INV50625,C32581,2024-01-11,9700.0,Paid
PAY158,INV51704,C33263,2024-01-05,376.0,Paid
PAY159,INV5200,C3424,2024-01-06,360.0,Paid
PAY160,INV53328,C34348,2024-01-06,990.0,Paid
PAY161,INV53505,C34486,2024-01-10,870.0,Paid
PAY162,INV53576,C34520,2024-01-06,3960.0,Paid
PAY163,INV474,C347,,0.0,Failed
PAY164,INV53984,C34855,2024-01-08,364.0,Paid
PAY165,INV54128,C34975,2024-01-12,870.0,Paid
PAY166,INV54346,C35108,2024-01-07,400.0,Paid
PAY167,INV55402,C35922,2024-01-07,3600.0,Paid
PAY168,INV56124,C36383,2024-01-06,3640.0,Paid
PAY169,INV56284,C36490,2024-01-06,870.0,Paid
PAY170,INV5570,C3668,2024-01-29,9400.0,Late
PAY171,INV56878,C36936,2024-01-21,210.65,Partial
PAY172,INV57121,C37082,,0.0,Failed
PAY173,INV57780,C37502,2024-01-12,3662.32,Partial
PAY174,INV58098,C37686,2024-01-08,3720.0,Paid
PAY175,INV58121,C37714,2024-01-09,3760.0,Paid
PAY176,INV59205,C38394,2024-01-11,1594.73,Partial
PAY177,INV60037,C38961,2024-01-09,3800.0,Paid
PAY178,INV5980,C3978,2024-01-06,8800.0,Paid
PAY179,INV5996,C3989,2024-01-08,3680.0,Paid
PAY180,INV5997,C3992,2024-01-11,372.0,Paid
PAY181,INV7705,C5084,2024-01-07,360.0,Paid
PAY182,INV7925,C5219,2024-01-28,3600.0,Late
PAY183,INV8689,C5659,2024-01-28,392.0,Late
PAY184,INV9690,C6370,,0.0,Failed
PAY185,INV962,C691,2024-01-10,880.0,Paid
PAY186,INV10585,C6993,2024-01-25,400.0,Late
PAY187,INV10602,C7007,2024-01-14,9000.0,Paid
PAY188,INV11056,C7303,2024-01-11,360.0,Paid
PAY189,INV11511,C7558,2024-01-12,10000.0,Paid
PAY190,INV12545,C8236,2024-01-13,990.0,Paid
PAY191,INV12627,C8270,2024-01-09,3600.0,Paid
PAY192,INV1153,C831,2024-01-14,376.0,Paid
PAY193,INV13492,C8863,2024-01-07,3760.0,Paid
PAY194,INV13575,C8922,2024-01-06,910.0,Paid
PAY195,INV14061,C9287,2024-01-07,384.0,Paid
PAY196,INV14654,C9589,2024-01-26,360.0,Late
PAY197,INV15096,C9869,2024-01-12,380.0,Paid
PAY198,INV15576,C10221,2024-01-07,900.0,Paid
PAY199,INV16956,C11059,2024-01-06,4000.0,Paid
PAY200,INV16970,C11083,2024-01-16,3800.0,Late
PAY201,INV17234,C11234,2024-01-15,10000.0,Paid
PAY202,INV17494,C11386,2024-01-07,890.0,Paid
PAY203,INV18551,C11961,2024-01-14,970.0,Paid
PAY204,INV19690,C12758,2024-01-20,910.0,Late
PAY205,INV19753,C12819,2024-01-14,360.0,Paid
PAY206,INV19849,C12921,2024-01-14,9900.0,Paid
PAY207,INV19914,C12974,2024-01-13,9700.0,Paid
PAY208,INV20264,C13181,2024-01-15,8900.0,Paid
PAY209,INV21246,C13829,2024-01-14,3840.0,Paid
PAY210,INV21947,C14296,2024-01-12,860.0,Paid
PAY211,INV22630,C14657,2024-01-06,3600.0,Paid
PAY212,INV22920,C14819,2024-01-29,388.0,Late
PAY213,INV22929,C14824,2024-01-09,372.0,Paid
PAY214,INV23909,C15428,2024-01-20,930.0,Late
PAY215,INV2427,C1587,2024-01-19,233.92,Partial
PAY216,INV24872,C16060,2024-01-09,3760.0,Paid
PAY217,INV25156,C16250,2024-01-07,3760.0,Paid
PAY218,INV25617,C16550,2024-01-08,9800.0,Paid
PAY219,INV26255,C17001,2024-01-15,10000.0,Paid
PAY220,INV26476,C17104,2024-01-06,3600.0,Paid
PAY221,INV26695,C17258,2024-01-09,9500.0,Paid
PAY222,INV26773,C17333,2024-01-20,960.0,Late
PAY223,INV26881,C17404,2024-01-20,950.0,Late
PAY224,INV2785,C1789,2024-01-10,360.0,Paid
PAY225,INV28135,C18211,2024-01-06,860.0,Paid
PAY226,INV30204,C19342,2024-01-15,880.0,Paid
PAY227,INV30680,C19687,2024-01-13,376.0,Paid
PAY228,INV30808,C19772,2024-01-12,396.0,Paid
PAY229,INV31176,C19950,2024-01-12,3720.0,Paid
PAY230,INV31474,C20214,2024-01-15,3800.0,Paid
PAY231,INV31688,C20369,2024-01-10,10000.0,Paid
PAY232,INV31798,C20450,2024-01-13,392.0,Paid
PAY233,INV31841,C20471,2024-01-12,372.0,Paid
PAY234,INV31900,C20508,2024-01-14,920.0,Paid
PAY235,INV32544,C20876,2024-01-15,980.0,Paid
PAY236,INV32778,C20989,2024-01-27,990.0,Late
PAY237,INV33138,C21250,2024-01-15,3600.0,Paid
PAY238,INV33378,C21385,2024-01-20,488.16,Partial
PAY239,INV33484,C21473,2024-02-01,9400.0,Late
PAY240,INV3386,C2166,2024-01-10,3600.0,Paid
PAY241,INV34547,C22183,2024-01-07,388.0,Paid
PAY242,INV3450,C2235,2024-01-11,360.0,Paid
PAY243,INV35008,C22476,2024-01-26,960.0,Late
PAY244,INV35158,C22558,2024-01-25,3600.0,Late
PAY245,INV36273,C23232,2024-01-09,3800.0,Paid
PAY246,INV36448,C23340,2024-02-03,980.0,Late
PAY247,INV36616,C23474,2024-01-13,9600.0,Paid
PAY248,INV37144,C23815,2024-01-06,900.0,Paid
PAY249,INV37852,C24243,2024-01-21,714.91,Partial
PAY250,INV37909,C24292,,0.0,Failed
PAY251,INV38256,C24479,2024-01-13,9600.0,Paid
PAY252,INV38743,C24802,2024-01-08,392.0,Paid
PAY253,INV38825,C24851,2024-01-08,376.0,Paid
PAY254,INV39527,C25226,2024-01-15,860.0,Paid
PAY255,INV39582,C25247,2024-01-18,4000.0,Late
PAY256,INV40076,C25625,2024-01-07,3720.0,Paid
PAY257,INV40347,C25817,2024-01-12,9300.0,Paid
PAY258,INV4007,C2593,2024-01-14,3840.0,Paid
PAY259,INV40914,C26219,2024-01-06,380.0,Paid
PAY260,INV41092,C26328,2024-01-14,400.0,Paid
PAY261,INV41354,C26487,2024-01-11,360.0,Paid
PAY262,INV41448,C26542,2024-01-10,880.0,Paid
PAY263,INV42438,C27320,2024-02-02,3600.0,Late
PAY264,INV42868,C27560,2024-01-25,2723.15,Partial
PAY265,INV42996,C27656,2024-01-13,3600.0,Paid
PAY266,INV43157,C27757,,0.0,Failed
PAY267,INV43261,C27842,2024-01-06,990.0,Paid
PAY268,INV43413,C27932,2024-01-10,950.0,Paid
PAY269,INV43676,C28087,2024-01-13,3840.0,Paid
PAY270,INV44261,C28479,2024-01-30,364.0,Late
PAY271,INV44499,C28615,2024-01-11,8900.0,Paid
PAY272,INV4432,C2876,2024-01-11,860.0,Paid
PAY273,INV44811,C28844,2024-01-06,3920.0,Paid
PAY274,INV45077,C29010,2024-01-09,392.0,Paid
PAY275,INV45122,C29031,2024-01-15,940.0,Paid
PAY276,INV45231,C29108,2024-01-14,9600.0,Paid
PAY277,INV45825,C29539,2024-01-06,920.0,Paid
PAY278,INV46041,C29693,2024-01-15,396.0,Paid
PAY279,INV4608,C2988,2024-01-10,3960.0,Paid
PAY280,INV47202,C30426,2024-01-06,360.0,Paid
PAY281,INV4736,C3099,2024-01-07,990.0,Paid
PAY282,INV48068,C31055,2024-01-23,1843.55,Partial
PAY283,INV49058,C31676,2024-01-10,3600.0,Paid
PAY284,INV49229,C31768,2024-01-10,9600.0,Paid
PAY285,INV49324,C31805,2024-01-10,9000.0,Paid
PAY286,INV4867,C3181,2024-01-10,392.0,Paid
PAY287,INV49362,C31826,2024-01-09,9600.0,Paid
PAY288,INV49534,C31903,2024-01-11,3880.0,Paid
PAY289,INV49549,C31920,2024-01-11,384.0,Paid
PAY290,INV49570,C31925,2024-01-09,910.0,Paid
PAY291,INV49964,C32157,2024-01-15,3600.0,Paid
PAY292,INV50145,C32285,2024-01-12,9600.0,Paid
PAY293,INV50383,C32469,2024-01-06,990.0,Paid
PAY294,INV51194,C32937,2024-01-20,3840.0,Late
PAY295,INV51366,C33040,2024-01-14,360.0,Paid
PAY296,INV5082,C3342,,0.0,Failed
PAY297,INV52054,C33494,2024-01-09,1000.0,Paid
PAY298,INV52083,C33538,2024-01-08,360.0,Paid
PAY299,INV52264,C33651,2024-01-06,396.0,Paid
PAY300,INV52370,C33699,2024-01-06,900.0,Paid
PAY301,INV5160,C3373,2024-01-09,9500.0,Paid
PAY302,INV53008,C34160,2024-01-07,368.0,Paid
PAY303,INV53650,C34594,2024-01-11,3640.0,Paid
PAY304,INV53742,C34645,2024-01-15,3680.0,Paid
PAY305,INV5309,C3500,2024-01-12,8700.0,Paid
PAY306,INV54918,C35483,2024-01-10,9700.0,Paid
PAY307,INV55032,C35575,2024-01-12,3760.0,Paid
PAY308,INV55505,C35998,2024-01-09,9000.0,Paid
PAY309,INV55618,C36069,2024-01-09,8700.0,Paid
PAY310,INV56515,C36634,2024-01-25,377.78,Partial
PAY311,INV56644,C36705,2024-01-07,360.0,Paid
PAY312,INV56837,C36892,2024-01-13,3920.0,Paid
PAY313,INV57136,C37099,2024-01-13,3840.0,Paid
PAY314,INV57375,C37265,2024-01-20,1271.01,Partial
PAY315,INV57861,C37558,2024-01-12,9400.0,Paid
PAY316,INV57999,C37626,2024-01-12,8700.0,Paid
PAY317,INV58188,C37749,2024-01-11,9800.0,Paid
PAY318,INV58276,C37796,2024-01-15,8600.0,Paid
PAY319,INV59212,C38400,2024-01-13,3640.0,Paid
PAY320,INV59321,C38459,2024-01-11,3600.0,Paid
PAY321,INV60040,C38977,2024-01-13,9500.0,Paid
PAY322,INV60762,C39503,,0.0,Failed
PAY323,INV61215,C39705,2024-01-09,3760.0,Paid
PAY324,INV61293,C39781,2024-01-11,360.0,Paid
PAY325,INV7011,C4619,2024-01-23,3920.0,Late
PAY326,INV8134,C5346,2024-01-06,960.0,Paid
PAY327,INV9271,C6063,2024-01-13,3600.0,Paid
PAY328,INV956,C690,2024-01-08,940.0,Paid
PAY329,INV10478,C6924,2024-01-11,360.0,Paid
PAY330,INV10817,C7138,2024-01-14,204.94,Partial
PAY331,INV11076,C7319,2024-01-13,384.0,Paid
PAY332,INV11354,C7469,2024-01-12,1000.0,Paid
PAY333,INV11467,C7537,2024-01-08,388.0,Paid
PAY334,INV11585,C7613,2024-01-08,400.0,Paid
PAY335,INV11627,C7640,2024-01-09,3680.0,Paid
PAY336,INV11851,C7758,2024-01-16,4000.0,Late
PAY337,INV12163,C8001,2024-01-07,890.0,Paid
PAY338,INV12170,C8003,,0.0,Failed
PAY339,INV13592,C8943,2024-01-09,372.0,Paid
PAY340,INV14231,C9381,2024-01-14,920.0,Paid
PAY341,INV14276,C9400,2024-01-06,3880.0,Paid
PAY342,INV15230,C9990,2024-01-11,388.0,Paid
PAY343,INV15642,C10253,2024-01-08,860.0,Paid
PAY344,INV1468,C1028,2024-01-21,2797.99,Partial
PAY345,INV17651,C11476,2024-01-11,400.0,Paid
PAY346,INV18172,C11716,2024-01-14,3600.0,Paid
PAY347,INV18248,C11776,2024-02-02,1000.0,Late
PAY348,INV18415,C11887,2024-01-13,397.75,Partial
PAY349,INV18854,C12185,2024-02-02,400.0,Late
PAY350,INV18885,C12196,2024-01-13,364.0,Paid
PAY351,INV19127,C12350,2024-01-24,860.0,Late
PAY352,INV19278,C12455,2024-01-26,9600.0,Late
PAY353,INV19443,C12621,2024-01-07,364.0,Paid
PAY354,INV19769,C12833,,0.0,Failed
PAY355,INV19862,C12929,2024-01-07,9600.0,Paid
PAY356,INV19863,C12936,2024-01-11,960.0,Paid
PAY357,INV21077,C13720,2024-01-27,4000.0,Late
PAY358,INV21991,C14350,2024-01-10,10000.0,Paid
PAY359,INV22142,C14430,2024-01-12,392.0,Paid
PAY360,INV22312,C14498,2024-01-13,360.0,Paid
PAY361,INV22494,C14591,2024-01-12,860.0,Paid
PAY362,INV22596,C14643,2024-01-13,360.0,Paid
PAY363,INV23314,C15002,2024-01-31,9700.0,Late
PAY364,INV2371,C1505,2024-01-07,3600.0,Paid
PAY365,INV23406,C15088,2024-01-10,360.0,Paid
PAY366,INV23666,C15270,,0.0,Failed
PAY367,INV23820,C15373,2024-01-12,3640.0,Paid
PAY368,INV24214,C15601,2024-01-13,9200.0,Paid
PAY369,INV24428,C15772,,0.0,Failed
PAY370,INV24618,C15906,2024-01-15,3920.0,Paid
PAY371,INV24884,C16089,,0.0,Failed
PAY372,INV24925,C16113,2024-01-14,910.0,Paid
PAY373,INV24954,C16127,2024-01-08,3720.0,Paid
PAY374,INV25968,C16775,2024-01-18,4857.99,Partial
PAY375,INV26058,C16854,2024-01-16,3600.0,Paid
PAY376,INV26199,C16975,2024-01-11,396.0,Paid
PAY377,INV27085,C17554,2024-01-25,376.0,Late
PAY378,INV2742,C1768,2024-01-13,388.0,Paid
PAY379,INV28345,C18309,2024-01-09,396.0,Paid
PAY380,INV28865,C18563,,0.0,Failed
PAY381,INV30795,C19747,2024-01-11,9800.0,Paid
PAY382,INV30826,C19793,2024-01-13,900.0,Paid
PAY383,INV31405,C20172,2024-01-13,900.0,Paid
PAY384,INV31702,C20394,2024-01-10,392.0,Paid
PAY385,INV3165,C2055,2024-01-09,3640.0,Paid
PAY386,INV3166,C2059,2024-01-15,1000.0,Paid
PAY387,INV33598,C21580,2024-01-12,380.0,Paid
PAY388,INV33925,C21776,2024-01-09,376.0,Paid
PAY389,INV34025,C21852,2024-01-12,612.28,Partial
PAY390,INV34204,C21945,2024-01-10,3600.0,Paid
PAY391,INV34563,C22194,2024-01-08,870.0,Paid
PAY392,INV34931,C22405,2024-01-16,990.0,Paid
PAY393,INV3487,C2249,2024-01-26,5165.04,Partial
PAY394,INV36731,C23534,2024-01-12,930.0,Paid
PAY395,INV36865,C23599,2024-01-15,9300.0,Paid
PAY396,INV37723,C24183,2024-01-10,970.0,Paid
PAY397,INV38298,C24506,2024-01-20,372.0,Late
PAY398,INV38488,C24584,2024-02-02,368.0,Late
PAY399,INV39144,C25020,2024-01-15,880.0,Paid
PAY400,INV39995,C25586,2024-01-09,990.0,Paid
PAY401,INV40017,C25600,2024-01-13,990.0,Paid
PAY402,INV40264,C25765,2024-01-13,368.0,Paid
PAY403,INV40458,C25890,,0.0,Failed
PAY404,INV40569,C25931,2024-01-07,3600.0,Paid
PAY405,INV40661,C25996,2024-02-03,9600.0,Late
PAY406,INV4057,C2611,2024-01-19,9900.0,Late
PAY407,INV40922,C26221,,0.0,Failed
PAY408,INV41181,C26370,2024-01-07,380.0,Paid
PAY409,INV41378,C26492,2024-01-22,3600.0,Late
PAY410,INV42816,C27521,2024-01-13,231.97,Partial
PAY411,INV43304,C27865,2024-01-11,3600.0,Paid
PAY412,INV43754,C28136,2024-01-17,1159.66,Partial
PAY413,INV43875,C28231,2024-01-11,4000.0,Paid
PAY414,INV43980,C28309,,0.0,Failed
PAY415,INV44930,C28912,2024-01-13,9500.0,Paid
PAY416,INV45354,C29204,2024-01-09,360.0,Paid
PAY417,INV45404,C29250,2024-01-14,860.0,Paid
PAY418,INV46011,C29676,2024-01-12,3760.0,Paid
PAY419,INV46316,C29851,2024-02-01,360.0,Late
PAY420,INV46370,C29882,2024-02-03,3720.0,Late
PAY421,INV47053,C30310,2024-01-21,114.32,Partial
PAY422,INV47137,C30371,2024-01-14,736.27,Partial
PAY423,INV47280,C30488,2024-01-12,3880.0,Paid
PAY424,INV48155,C31117,2024-01-14,3600.0,Paid
PAY425,INV48405,C31274,2024-01-08,8700.0,Paid
PAY426,INV48527,C31337,2024-01-15,960.0,Paid
PAY427,INV48664,C31425,2024-01-15,243.19,Partial
PAY428,INV48763,C31485,2024-01-12,10000.0,Paid
PAY429,INV49767,C32028,2024-01-15,940.0,Paid
PAY430,INV49821,C32049,2024-01-16,396.0,Paid
PAY431,INV49833,C32053,2024-01-10,930.0,Paid
PAY432,INV50039,C32194,,0.0,Failed
PAY433,INV50301,C32422,2024-01-17,9900.0,Late
PAY434,INV51115,C32890,2024-01-07,10000.0,Paid
PAY435,INV51132,C32909,2024-01-07,3600.0,Paid
PAY436,INV51296,C33015,2024-01-08,890.0,Paid
PAY437,INV51569,C33170,2024-01-16,368.76,Partial
PAY438,INV52067,C33505,2024-01-15,3600.0,Paid
PAY439,INV52082,C33529,2024-02-04,3760.0,Late
PAY440,INV52262,C33649,2024-01-12,9900.0,Paid
PAY441,INV52453,C33785,2024-01-11,1000.0,Paid
PAY442,INV52690,C33950,2024-01-14,9400.0,Paid
PAY443,INV52942,C34133,2024-01-09,3640.0,Paid
PAY444,INV53029,C34173,2024-01-13,376.0,Paid
PAY445,INV53099,C34215,2024-01-13,3600.0,Paid
PAY446,INV5199,C3422,2024-01-14,3960.0,Paid
PAY447,INV53112,C34236,2024-01-09,1000.0,Paid
PAY448,INV5247,C3468,2024-01-26,341.26,Partial
PAY449,INV55035,C35582,2024-01-07,900.0,Paid
PAY450,INV55116,C35661,2024-01-09,9300.0,Paid
PAY451,INV55686,C36111,2024-01-13,8800.0,Paid
PAY452,INV55836,C36170,2024-01-19,3720.0,Late
PAY453,INV56010,C36300,2024-01-11,930.0,Paid
PAY454,INV56029,C36318,2024-01-11,368.0,Paid
PAY455,INV56144,C36393,2024-01-14,372.0,Paid
PAY456,INV56306,C36502,2024-01-09,10000.0,Paid
PAY457,INV56651,C36706,2024-01-19,3640.0,Late
PAY458,INV57374,C37262,2024-01-12,3600.0,Paid
PAY459,INV57386,C37268,2024-01-11,9700.0,Paid
PAY460,INV57680,C37456,2024-01-16,400.0,Paid
PAY461,INV57887,C37572,2024-01-08,3840.0,Paid
PAY462,INV58326,C37842,2024-01-08,940.0,Paid
PAY463,INV58603,C38006,,0.0,Failed
PAY464,INV5731,C3809,2024-01-16,372.0,Paid
PAY465,INV58910,C38216,2024-01-09,1000.0,Paid
PAY466,INV5787,C3827,2024-01-13,8800.0,Paid
PAY467,INV59250,C38444,2024-01-24,262.29,Partial
PAY468,INV59364,C38493,2024-01-13,8800.0,Paid
PAY469,INV60030,C38952,2024-01-27,376.0,Late
PAY470,INV60138,C39066,2024-01-14,980.0,Paid
PAY471,INV61119,C39660,2024-01-13,2219.72,Partial
PAY472,INV61219,C39710,2024-01-15,860.0,Paid
PAY473,INV61447,C39929,2024-01-20,122.6,Partial
PAY474,INV61516,C39980,2024-01-12,9100.0,Paid
PAY475,INV6249,C4104,2024-01-14,880.0,Paid
PAY476,INV6781,C4476,2024-01-15,3600.0,Paid
PAY477,INV7421,C4872,2024-01-09,388.0,Paid
PAY478,INV8572,C5595,2024-01-15,930.0,Paid
PAY479,INV817,C592,2024-01-18,6872.38,Partial
PAY480,INV9959,C6541,2024-01-07,8800.0,Paid
