collection_id,invoice_id,customer_id,collection_date,amount_collected,collection_status
COL198,INV11170,C7367,2024-02-09,0.0,Unrecovered
COL199,INV1190,C853,2024-02-03,41.75,Recovered
COL200,INV14485,C9493,2024-02-04,365.63,Recovered
COL201,INV15034,C9829,2024-01-20,0.0,Unrecovered
COL202,INV18679,C12037,2024-02-04,0.0,Unrecovered
COL203,INV24394,C15757,2024-01-28,2122.42,Recovered
COL204,INV28198,C18253,2024-01-17,789.5,Recovered
COL205,INV28906,C18616,2024-01-27,255.34,Recovered
COL206,INV29197,C18764,2024-02-05,0.0,Unrecovered
COL207,INV30972,C19847,2024-02-13,151.93,Recovered
COL208,INV32519,C20860,2024-01-27,7883.63,Recovered
COL209,INV34822,C22344,2024-01-28,932.35,Recovered
COL210,INV35917,C23025,2024-02-08,0.0,Unrecovered
COL211,INV39929,C25554,2024-02-07,538.65,Recovered
COL212,INV40261,C25756,2024-01-30,0.0,Unrecovered
COL213,INV41396,C26512,2024-02-02,1912.25,Recovered
COL214,INV402,C284,2024-01-21,2459.9,Recovered
COL215,INV45942,C29597,2024-02-07,1949.44,Recovered
COL216,INV46827,C30183,2024-02-18,0.0,Unrecovered
COL217,INV47868,C30905,2024-02-06,73.98,Recovered
COL218,INV48210,C31154,2024-02-08,0.0,Unrecovered
COL219,INV49261,C31780,2024-02-04,137.7,Recovered
COL220,INV49449,C31859,2024-02-12,0.0,Unrecovered
COL221,INV49601,C31933,2024-02-16,949.74,Recovered
COL222,INV50512,C32526,2024-02-08,547.72,Recovered
COL223,INV52817,C34026,2024-02-11,0.0,Unrecovered
COL224,INV58017,C37652,2024-02-07,0.0,Unrecovered
COL225,INV58263,C37786,2024-01-17,0.0,Unrecovered
COL226,INV58557,C37952,2024-01-27,842.89,Recovered
COL227,INV59852,C38823,2024-02-04,0.0,Unrecovered
COL228,INV61137,C39683,2024-01-17,886.55,Recovered
COL229,INV8492,C5543,2024-02-06,0.0,Unrecovered
COL230,INV10810,C7134,2024-02-05,404.42,Recovered
COL231,INV15475,C10168,2024-02-05,163.19,Recovered
COL232,INV17057,C11138,2024-01-31,2444.02,Recovered
COL233,INV19077,C12318,2024-02-02,4040.99,Recovered
COL234,INV19600,C12709,2024-02-03,0.0,Unrecovered
COL235,INV20948,C13647,2024-01-29,0.0,Unrecovered
COL236,INV21121,C13771,2024-02-14,2060.21,Recovered
COL237,INV22783,C14759,2024-02-10,75.08,Recovered
COL238,INV24050,C15527,2024-01-31,0.0,Unrecovered
COL239,INV32448,C20828,2024-02-12,1687.66,Recovered
COL240,INV37102,C23766,2024-02-15,4821.53,Recovered
COL241,INV37654,C24143,2024-02-04,430.75,Recovered
COL242,INV38279,C24490,2024-02-13,0.0,Unrecovered
COL243,INV38558,C24649,2024-01-28,2591.96,Recovered
COL244,INV41488,C26568,2024-01-30,1504.43,Recovered
COL245,INV45737,C29518,2024-02-06,147.09,Recovered
COL246,INV47646,C30723,2024-02-11,0.0,Unrecovered
COL247,INV47829,C30844,2024-02-01,188.91,Recovered
COL248,INV52408,C33721,2024-02-11,1668.07,Recovered
COL249,INV54616,C35255,2024-02-02,0.0,Unrecovered
COL250,INV58826,C38165,2024-01-27,0.0,Unrecovered
COL251,INV8452,C5526,2024-02-01,0.0,Unrecovered
COL252,INV930,C674,2024-01-21,829.09,Recovered
COL253,INV11573,C7612,2024-02-12,233.69,Recovered
COL254,INV14345,C9437,2024-02-06,0.0,Unrecovered
COL255,INV21435,C13926,2024-01-31,0.0,Unrecovered
COL256,INV21691,C14117,2024-01-31,0.0,Unrecovered
COL257,INV21800,C14192,2024-01-19,0.0,Unrecovered
COL258,INV23335,C15026,2024-01-22,7215.52,Recovered
COL259,INV23397,C15081,2024-01-27,0.0,Unrecovered
COL260,INV2380,C1533,2024-02-01,574.29,Recovered
COL261,INV25603,C16524,2024-02-02,2228.78,Recovered
COL262,INV25949,C16756,2024-02-04,2268.15,Recovered
COL263,INV26224,C16990,2024-02-02,108.54,Recovered
COL264,INV27860,C18050,2024-02-01,0.0,Unrecovered
COL265,INV29164,C18753,2024-02-15,606.8,Recovered
COL266,INV29436,C18889,2024-01-26,4124.71,Recovered
COL267,INV29794,C19109,2024-02-15,0.0,Unrecovered
COL268,INV3037,C1931,2024-02-14,0.0,Unrecovered
COL269,INV31373,C20147,2024-02-02,365.07,Recovered
COL270,INV31653,C20340,2024-02-01,0.0,Unrecovered
COL271,INV34036,C21873,2024-02-12,0.0,Unrecovered
COL272,INV34364,C22071,2024-02-04,3609.43,Recovered
COL273,INV36651,C23496,2024-01-29,0.0,Unrecovered
COL274,INV37955,C24322,2024-01-26,870.62,Recovered
COL275,INV37969,C24331,2024-02-02,0.0,Unrecovered
COL276,INV39264,C25088,2024-02-11,0.0,Unrecovered
COL277,INV41651,C26680,2024-02-13,0.0,Unrecovered
COL278,INV42165,C27110,2024-02-09,0.0,Unrecovered
COL279,INV43143,C27748,2024-01-28,2948.9,Recovered
COL280,INV48110,C31089,2024-01-28,2518.07,Recovered
COL281,INV51984,C33447,2024-02-06,0.0,Unrecovered
COL282,INV56091,C36360,2024-02-07,102.22,Recovered
COL283,INV56271,C36464,2024-01-26,6094.92,Recovered
COL284,INV57234,C37157,2024-01-21,3007.25,Recovered
COL285,INV58274,C37791,2024-01-21,8422.09,Recovered
COL286,INV539,C384,2024-02-06,81.86,Recovered
COL287,INV59779,C38761,2024-02-15,0.0,Unrecovered
COL288,INV60417,C39272,2024-01-28,0.0,Unrecovered
COL289,INV7770,C5128,2024-01-29,310.53,Recovered
COL290,INV9390,C6135,2024-02-14,0.0,Unrecovered
COL291,INV10735,C7088,2024-01-19,640.78,Recovered
COL292,INV13517,C8875,2024-01-25,0.0,Unrecovered
COL293,INV13611,C8976,2024-02-15,1403.96,Recovered
COL294,INV13625,C8986,2024-02-02,147.61,Recovered
COL295,INV14154,C9332,2024-02-10,0.0,Unrecovered
COL296,INV17007,C11105,2024-02-16,0.0,Unrecovered
COL297,INV24038,C15524,2024-01-21,360.19,Recovered
COL298,INV207,C164,2024-02-05,3491.44,Recovered
COL299,INV26331,C17032,2024-02-06,0.0,Unrecovered
COL300,INV2772,C1778,2024-02-13,0.0,Unrecovered
COL301,INV27984,C18130,2024-02-12,0.0,Unrecovered
COL302,INV2924,C1865,2024-02-07,4165.64,Recovered
COL303,INV35000,C22453,2024-01-30,52.61,Recovered
COL304,INV38796,C24840,2024-02-15,150.79,Recovered
COL305,INV38875,C24885,2024-02-09,0.0,Unrecovered
COL306,INV43005,C27668,2024-02-10,0.0,Unrecovered
COL307,INV43306,C27874,2024-02-02,9237.2,Recovered
COL308,INV45364,C29219,2024-02-06,2114.0,Recovered
COL309,INV45601,C29395,2024-01-26,3732.98,Recovered
COL310,INV45946,C29608,2024-02-06,3109.01,Recovered
COL311,INV47153,C30387,2024-02-03,876.61,Recovered
COL312,INV47213,C30444,2024-02-01,189.76,Recovered
COL313,INV47322,C30527,2024-01-28,202.08,Recovered
COL314,INV49672,C31967,2024-01-22,300.79,Recovered
COL315,INV51245,C32992,2024-01-26,0.0,Unrecovered
COL316,INV471,C334,2024-02-01,2353.66,Recovered
COL317,INV52080,C33518,2024-02-03,3525.42,Recovered
COL318,INV52199,C33623,2024-01-29,104.17,Recovered
COL319,INV52616,C33868,2024-01-21,2390.2,Recovered
COL320,INV54016,C34892,2024-02-13,4927.73,Recovered
COL321,INV57504,C37328,2024-02-18,86.45,Recovered
COL322,INV57587,C37388,2024-01-28,703.99,Recovered
COL323,INV61301,C39785,2024-01-25,5028.14,Recovered
COL324,INV6664,C4390,2024-02-06,0.0,Unrecovered
COL325,INV8747,C5721,2024-01-28,855.31,Recovered
COL326,INV10554,C6978,2024-01-29,122.09,Recovered
COL327,INV11294,C7428,2024-02-13,5009.14,Recovered
COL328,INV11379,C7483,2024-02-14,107.5,Recovered
COL329,INV12544,C8235,2024-02-11,0.0,Unrecovered
COL330,INV13265,C8736,2024-02-10,1483.07,Recovered
COL331,INV24723,C15958,2024-02-16,102.46,Recovered
COL332,INV28706,C18481,2024-02-04,1014.22,Recovered
COL333,INV28905,C18607,2024-01-25,8609.17,Recovered
COL334,INV31266,C20053,2024-01-23,367.8,Recovered
COL335,INV3468,C2243,2024-02-12,0.0,Unrecovered
COL336,INV3619,C2317,2024-02-04,0.0,Unrecovered
COL337,INV41707,C26738,2024-02-13,2446.43,Recovered
COL338,INV43904,C28269,2024-02-23,568.02,Recovered
COL339,INV44167,C28431,2024-02-06,916.31,Recovered
COL340,INV48328,C31225,2024-02-01,219.95,Recovered
COL341,INV53532,C34504,2024-02-13,0.0,Unrecovered
COL342,INV53759,C34669,2024-02-10,0.0,Unrecovered
COL343,INV55007,C35558,2024-02-13,113.09,Recovered
COL344,INV5888,C3897,2024-01-26,2588.4,Recovered
COL345,INV6268,C4116,2024-01-30,2844.82,Recovered
COL346,INV6663,C4389,2024-02-02,2110.26,Recovered
COL347,INV111,C89,2024-02-10,1896.03,Recovered
COL348,INV23874,C15407,2024-02-05,0.0,Unrecovered
COL349,INV24373,C15744,2024-01-25,0.0,Unrecovered
COL350,INV24381,C15753,2024-02-09,0.0,Unrecovered
COL351,INV26211,C16985,2024-01-23,0.0,Unrecovered
COL352,INV26330,C17030,2024-02-16,2209.83,Recovered
COL353,INV26837,C17380,2024-02-12,48.35,Recovered
COL354,INV27073,C17539,2024-02-03,265.94,Recovered
COL355,INV221,C176,2024-01-31,0.0,Unrecovered
COL356,INV29134,C18731,2024-02-11,486.26,Recovered
COL357,INV33632,C21602,2024-02-16,129.19,Recovered
COL358,INV35349,C22689,2024-02-16,0.0,Unrecovered
COL359,INV36797,C23566,2024-01-26,0.0,Unrecovered
COL360,INV37851,C24239,2024-02-14,1039.56,Recovered
COL361,INV42193,C27158,2024-02-02,0.0,Unrecovered
COL362,INV45017,C28957,2024-02-07,779.73,Recovered
COL363,INV47788,C30794,2024-02-21,114.56,Recovered
COL364,INV50315,C32428,2024-02-09,4537.21,Recovered
COL365,INV52277,C33657,2024-02-01,0.0,Unrecovered
COL366,INV54602,C35249,2024-02-10,1540.7,Recovered
COL367,INV55788,C36145,2024-01-27,0.0,Unrecovered
COL368,INV56501,C36628,2024-02-03,2901.88,Recovered
COL369,INV57781,C37503,2024-02-13,119.77,Recovered
COL370,INV59764,C38748,2024-02-01,0.0,Unrecovered
COL371,INV60783,C39506,2024-01-28,977.05,Recovered
COL372,INV569,C425,2024-02-03,0.0,Unrecovered
COL373,INV8317,C5439,2024-01-31,349.28,Recovered
COL374,INV8791,C5766,2024-02-02,0.0,Unrecovered
COL375,INV1011,C721,2024-02-15,0.0,Unrecovered
COL376,INV10913,C7214,2024-02-08,1749.26,Recovered
COL377,INV10984,C7260,2024-02-04,2256.41,Recovered
COL378,INV14689,C9625,2024-01-22,8643.06,Recovered
COL379,INV14896,C9762,2024-01-29,0.0,Unrecovered
COL380,INV16363,C10692,2024-01-29,363.61,Recovered
COL381,INV1685,C1135,2024-02-12,0.0,Unrecovered
COL382,INV18422,C11888,2024-02-01,75.88,Recovered
COL383,INV18778,C12127,2024-01-27,0.0,Unrecovered
COL384,INV19236,C12427,2024-01-25,2637.34,Recovered
COL385,INV23071,C14887,2024-02-05,2560.8,Recovered
COL386,INV26903,C17409,2024-02-17,484.96,Recovered
COL387,INV26960,C17467,2024-02-16,4321.15,Recovered
COL388,INV28016,C18150,2024-02-08,1565.61,Recovered
COL389,INV28779,C18519,2024-02-20,0.0,Unrecovered
COL390,INV33166,C21278,2024-02-12,0.0,Unrecovered
COL391,INV36110,C23116,2024-01-31,7656.17,Recovered
COL392,INV36260,C23227,2024-02-04,301.9,Recovered
COL393,INV38942,C24908,2024-01-28,809.31,Recovered
COL394,INV39320,C25095,2024-02-14,132.4,Recovered
COL395,INV39942,C25559,2024-02-23,0.0,Unrecovered
COL396,INV41293,C26457,2024-02-05,6539.87,Recovered
COL397,INV44432,C28576,2024-02-01,58.41,Recovered
COL398,INV46880,C30215,2024-02-06,0.0,Unrecovered
COL399,INV4678,C3026,2024-01-25,3229.44,Recovered
COL400,INV4929,C3237,2024-01-31,0.0,Unrecovered
COL401,INV52283,C33663,2024-01-28,0.0,Unrecovered
COL402,INV55921,C36231,2024-02-09,2587.94,Recovered
COL403,INV56138,C36391,2024-02-08,0.0,Unrecovered
COL404,INV57980,C37609,2024-02-03,6333.51,Recovered
COL405,INV59800,C38778,2024-02-22,0.0,Unrecovered
COL406,INV59998,C38935,2024-01-30,0.0,Unrecovered
COL407,INV61380,C39859,2024-01-25,670.56,Recovered
COL408,INV7896,C5206,2024-02-04,0.0,Unrecovered
COL409,INV8515,C5552,2024-02-03,0.0,Unrecovered
COL410,INV21679,C14116,2024-01-24,0.0,Unrecovered
COL411,INV22865,C14787,2024-02-11,1135.08,Recovered
COL412,INV25742,C16609,2024-02-07,4553.24,Recovered
COL413,INV33653,C21632,2024-02-14,0.0,Unrecovered
COL414,INV34724,C22271,2024-01-28,6604.91,Recovered
COL415,INV35938,C23035,2024-02-04,0.0,Unrecovered
COL416,INV39872,C25523,2024-02-21,1117.68,Recovered
COL417,INV41807,C26834,2024-02-12,1428.22,Recovered
COL418,INV43357,C27911,2024-01-24,304.75,Recovered
COL419,INV4573,C2944,2024-02-16,1084.79,Recovered
COL420,INV48776,C31522,2024-01-31,194.12,Recovered
COL421,INV51410,C33091,2024-02-06,687.61,Recovered
COL422,INV59247,C38429,2024-02-17,1565.83,Recovered
COL423,INV60369,C39237,2024-02-06,789.18,Recovered
COL424,INV60968,C39587,2024-02-06,0.0,Unrecovered
COL425,INV9205,C6022,2024-01-26,5740.86,Recovered
COL426,INV10328,C6852,2024-02-17,491.43,Recovered
COL427,INV11114,C7341,2024-02-08,0.0,Unrecovered
COL428,INV12336,C8147,2024-02-03,189.46,Recovered
COL429,INV15734,C10297,2024-01-26,312.22,Recovered
COL430,INV17341,C11305,2024-02-13,615.85,Recovered
COL431,INV20406,C13316,2024-02-14,214.69,Recovered
COL432,INV21934,C14288,2024-02-09,0.0,Unrecovered
COL433,INV23888,C15423,2024-02-14,262.65,Recovered
COL434,INV25130,C16241,2024-02-07,150.57,Recovered
COL435,INV31050,C19901,2024-02-11,0.0,Unrecovered
COL436,INV33240,C21317,2024-02-03,0.0,Unrecovered
COL437,INV35386,C22732,2024-02-10,339.3,Recovered
COL438,INV36244,C23216,2024-02-03,0.0,Unrecovered
COL439,INV39705,C25389,2024-01-31,784.61,Recovered
COL440,INV4292,C2771,2024-01-26,0.0,Unrecovered
COL441,INV45930,C29594,2024-02-05,0.0,Unrecovered
COL442,INV47250,C30475,2024-02-08,0.0,Unrecovered
COL443,INV47927,C30931,2024-02-19,5190.99,Recovered
COL444,INV48087,C31076,2024-02-24,1669.69,Recovered
COL445,INV48549,C31351,2024-02-11,0.0,Unrecovered
COL446,INV52089,C33543,2024-02-26,1791.2,Recovered
COL447,INV52134,C33582,2024-02-18,3659.45,Recovered
COL448,INV53126,C34247,2024-02-18,97.28,Recovered
COL449,INV56997,C37001,2024-02-11,0.0,Unrecovered
COL450,INV57415,C37280,2024-02-11,0.0,Unrecovered
COL451,INV57840,C37539,2024-02-07,471.61,Recovered
COL452,INV59477,C38554,2024-02-04,1636.86,Recovered
COL453,INV12096,C7945,2024-02-08,0.0,Unrecovered
COL454,INV1347,C928,2024-01-25,0.0,Unrecovered
COL455,INV15880,C10386,2024-02-16,162.85,Recovered
COL456,INV19198,C12401,2024-02-02,8587.58,Recovered
COL457,INV2494,C1627,2024-01-28,253.93,Recovered
COL458,INV26893,C17405,2024-02-08,0.0,Unrecovered
COL459,INV35639,C22884,2024-02-24,0.0,Unrecovered
COL460,INV36478,C23356,2024-02-14,814.91,Recovered
COL461,INV37437,C24020,2024-01-28,250.25,Recovered
COL462,INV39276,C25090,2024-01-27,547.78,Recovered
COL463,INV39655,C25318,2024-02-17,1085.31,Recovered
