quote_id,customer_id,plan_id,list_price,discount_percent,discount_start_date,discount_end_date,final_price,quote_date,status,quote_end_date
Q51,C51,BY,4000,9,2024-02-10,2024-03-11 00:00:00,3640.0,2024-02-10,Approved,
Q52,C52,PM,1000,8,2024-02-28,2024-03-29 00:00:00,920.0,2024-02-28,Converted,
Q53,C53,BY,4000,0,2024-02-28,2024-03-29 00:00:00,4000.0,2024-02-28,Converted,
Q54,C54,PY,10000,9,2024-02-09,2024-03-10 00:00:00,9100.0,2024-02-09,Approved,
Q55,C55,BY,4000,5,2024-02-08,2024-03-09 00:00:00,3800.0,2024-02-08,Draft,
Q56,C56,PY,10000,7,2024-01-22,2024-02-21 00:00:00,9300.0,2024-01-22,Converted,
Q57,C57,PY,10000,8,2024-01-24,2024-02-23 00:00:00,9200.0,2024-01-24,Converted,
Q58,C58,BM,400,10,2024-02-07,2024-03-08 00:00:00,360.0,2024-02-07,Converted,
Q59,C59,BY,4000,7,2024-01-02,2024-02-01 00:00:00,3719.9999999999995,2024-01-02,Draft,
Q60,C60,BM,400,5,2024-02-10,2024-03-11 00:00:00,380.0,2024-02-10,Amended,2024-07-11 00:00:00
Q61,C61,BY,4000,7,2024-02-10,2024-03-11 00:00:00,3719.9999999999995,2024-02-10,Approved,
Q62,C62,BY,4000,7,2024-01-19,,3719.9999999999995,2024-01-19,Rejected,
Q63,C63,BM,400,0,2024-02-10,2024-03-11 00:00:00,400.0,2024-02-10,Approved,
Q64,C64,BM,400,7,2024-01-02,2024-02-01 00:00:00,372.0,2024-01-02,Draft,
Q65,C65,BY,4000,6,2024-01-28,2024-02-27 00:00:00,3760.0,2024-01-28,Converted,
Q66,C66,PM,1000,7,2024-02-01,2024-03-02 00:00:00,929.9999999999999,2024-02-01,Draft,
Q67,C67,PY,10000,7,2024-01-19,2024-02-18 00:00:00,9300.0,2024-01-19,Rejected,
Q68,C68,BM,400,10,2024-01-16,2024-02-15 00:00:00,360.0,2024-01-16,Approved,
Q69,C69,PY,10000,9,2024-01-30,2024-02-29 00:00:00,9100.0,2024-01-30,Draft,
Q70,C70,PM,1000,13,2024-01-22,2024-02-21 00:00:00,870.0,2024-01-22,Converted,
Q71,C71,PM,1000,10,2024-01-14,2024-02-13 00:00:00,900.0,2024-01-14,Draft,
Q72,C72,PM,1000,9,2024-02-21,2024-03-22 00:00:00,910.0,2024-02-21,Rejected,
Q73,C73,BM,400,5,2024-02-25,2024-03-26 00:00:00,380.0,2024-02-25,Converted,
Q74,C74,PM,1000,8,2024-01-01,2024-01-31 00:00:00,920.0,2024-01-01,Rejected,
Q75,C75,BM,400,2,2024-02-14,2024-03-15 00:00:00,392.0,2024-02-14,Converted,
Q76,C76,PM,1000,9,2024-02-23,2024-03-24 00:00:00,910.0,2024-02-23,Draft,
Q77,C77,PY,10000,0,2024-01-02,2024-02-01 00:00:00,10000.0,2024-01-02,Draft,
Q78,C78,PY,10000,13,2024-01-22,2024-02-21 00:00:00,8700.0,2024-01-22,Rejected,
Q79,C79,BY,4000,8,2024-02-15,2024-03-16 00:00:00,3680.0,2024-02-15,Approved,
Q80,C80,PY,10000,13,2024-02-02,2024-03-03 00:00:00,8700.0,2024-02-02,Converted,
Q81,C81,BY,4000,9,2024-01-15,,3640.0,2024-01-15,Draft,
Q82,C82,PY,10000,13,2024-02-19,2024-03-20 00:00:00,8700.0,2024-02-19,Draft,
Q83,C83,BM,400,9,2024-02-10,2024-03-11 00:00:00,364.0,2024-02-10,Approved,
Q84,C84,PY,10000,1,2024-01-22,2024-02-21 00:00:00,9900.0,2024-01-22,Converted,
Q85,C85,BY,4000,2,2024-02-09,,3920.0,2024-02-09,Approved,
Q86,C86,BY,4000,10,2024-02-08,2024-03-09 00:00:00,3600.0,2024-02-08,Converted,
Q87,C87,PM,1000,3,2024-02-10,2024-03-11 00:00:00,970.0,2024-02-10,Rejected,
Q88,C88,BM,400,7,2024-02-10,2024-03-11 00:00:00,372.0,2024-02-10,Approved,
Q89,C89,PY,10000,10,2024-01-11,2024-02-10 00:00:00,9000.0,2024-01-11,Converted,
Q90,C90,PM,1000,8,2024-01-04,2024-02-03 00:00:00,920.0,2024-01-04,Rejected,
Q91,C91,PY,10000,2,2024-01-07,2024-02-06 00:00:00,9800.0,2024-01-07,Approved,
Q92,C92,PY,10000,1,2024-01-21,2024-02-20 00:00:00,9900.0,2024-01-21,Draft,
Q93,C93,PM,1000,1,2024-01-07,2024-02-06 00:00:00,990.0,2024-01-07,Approved,
Q94,C94,PM,1000,10,2024-01-04,2024-02-03 00:00:00,900.0,2024-01-04,Draft,
Q95,C95,PM,1000,8,2024-01-12,2024-02-11 00:00:00,920.0,2024-01-12,Approved,
Q96,C96,PM,1000,11,2024-02-27,2024-03-28 00:00:00,890.0,2024-02-27,Draft,
Q97,C97,PM,1000,7,2024-01-27,2024-02-26 00:00:00,929.9999999999999,2024-01-27,Converted,
Q98,C98,PY,10000,1,2024-02-28,2024-03-29 00:00:00,9900.0,2024-02-28,Approved,
Q99,C99,PM,1000,12,2024-01-17,2024-02-16 00:00:00,880.0,2024-01-17,Rejected,
Q100,C100,BM,400,7,2024-01-20,2024-02-19 00:00:00,372.0,2024-01-20,Approved,
Q101,C101,BY,4000,10,2024-01-31,,3600.0,2024-01-31,Converted,
Q102,C102,PM,1000,5,2024-01-26,2024-02-25 00:00:00,950.0,2024-01-26,Approved,
Q103,C103,PM,1000,22,2024-01-31,2024-03-01 00:00:00,780.0,2024-01-31,Converted,
Q104,C104,PY,10000,4,2024-02-04,2024-03-05 00:00:00,9600.0,2024-02-04,Rejected,
Q105,C105,PM,1000,12,2024-01-09,2024-02-08 00:00:00,880.0,2024-01-09,Converted,
Q106,C106,PM,1000,9,2024-01-05,2024-02-04 00:00:00,910.0,2024-01-05,Rejected,
Q107,C107,PM,1000,9,2024-02-21,2024-03-22 00:00:00,910.0,2024-02-21,Converted,
Q108,C108,PY,10000,6,2024-02-17,2024-03-18 00:00:00,9400.0,2024-02-17,Draft,
Q109,C109,PM,1000,7,2024-01-08,2024-02-07 00:00:00,929.9999999999999,2024-01-08,Rejected,
Q110,C110,BY,4000,4,2024-01-21,2024-02-20 00:00:00,3840.0,2024-01-21,Approved,
Q111,C111,PY,10000,12,2024-01-16,2024-02-15 00:00:00,8800.0,2024-01-16,Approved,
Q112,C112,BY,4000,3,2024-02-20,2024-03-21 00:00:00,3880.0,2024-02-20,Converted,
Q113,C113,PY,10000,1,2024-01-16,2024-02-15 00:00:00,9900.0,2024-01-16,Draft,
Q114,C114,PM,1000,4,2024-01-18,2024-02-17 00:00:00,960.0,2024-01-18,Approved,
Q115,C115,BY,4000,7,2024-02-16,2024-03-17 00:00:00,3719.9999999999995,2024-02-16,Approved,
Q116,C116,PY,10000,0,2024-02-25,2024-03-26 00:00:00,10000.0,2024-02-25,Rejected,
Q117,C117,BM,400,5,2024-01-28,2024-02-27 00:00:00,380.0,2024-01-28,Approved,
Q118,C118,PM,1000,1,2024-01-18,2024-02-17 00:00:00,990.0,2024-01-18,Approved,
Q119,C119,PY,10000,1,2024-01-14,,9900.0,2024-01-14,Rejected,
Q120,C120,BM,400,7,2024-02-25,2024-03-26 00:00:00,372.0,2024-02-25,Converted,
Q121,C121,PY,10000,5,2024-02-17,,9500.0,2024-02-17,Approved,
Q122,C122,BM,400,5,2024-02-06,2024-03-07 00:00:00,380.0,2024-02-06,Draft,
Q123,C123,PM,1000,5,2024-02-09,2024-03-10 00:00:00,950.0,2024-02-09,Rejected,
Q124,C124,BY,4000,8,2024-01-16,2024-02-15 00:00:00,3680.0,2024-01-16,Converted,
Q125,C125,BM,400,10,2024-01-21,2024-02-20 00:00:00,360.0,2024-01-21,Draft,
Q126,C126,PY,10000,14,2024-01-01,2024-01-31 00:00:00,8600.0,2024-01-01,Converted,
Q127,C127,PM,1000,25,2024-02-29,,750.0,2024-02-29,Converted,
Q128,C128,BM,400,2,2024-01-11,2024-02-10 00:00:00,392.0,2024-01-11,Rejected,
Q129,C129,PY,10000,1,2024-01-11,2024-02-10 00:00:00,9900.0,2024-01-11,Approved,
Q130,C130,PY,10000,13,2024-01-02,2024-02-01 00:00:00,8700.0,2024-01-02,Approved,
Q131,C131,PY,10000,4,2024-02-01,2024-03-02 00:00:00,9600.0,2024-02-01,Converted,
Q132,C132,BM,400,5,2024-02-23,,380.0,2024-02-23,Approved,
Q133,C133,BM,400,8,2024-01-19,2024-02-18 00:00:00,368.0,2024-01-19,Rejected,
Q134,C134,BM,400,8,2024-02-25,2024-03-26 00:00:00,368.0,2024-02-25,Draft,
Q135,C135,BY,4000,1,2024-01-05,2024-02-04 00:00:00,3960.0,2024-01-05,Converted,
Q136,C136,BM,400,8,2024-01-03,2024-02-02 00:00:00,368.0,2024-01-03,Approved,
Q137,C137,BM,400,8,2024-01-28,2024-02-27 00:00:00,368.0,2024-01-28,Converted,
Q138,C138,BM,400,10,2024-01-26,2024-02-25 00:00:00,360.0,2024-01-26,Rejected,
Q139,C139,BY,4000,5,2024-01-23,2024-02-22 00:00:00,3800.0,2024-01-23,Rejected,
Q140,C140,BM,400,0,2024-01-30,2024-02-29 00:00:00,400.0,2024-01-30,Draft,
Q141,C141,PY,10000,10,2024-01-08,2024-02-07 00:00:00,9000.0,2024-01-08,Draft,
Q142,C142,BM,400,7,2024-02-05,2024-03-06 00:00:00,372.0,2024-02-05,Approved,
Q143,C143,PY,10000,7,2024-01-29,2024-02-28 00:00:00,9300.0,2024-01-29,Rejected,
Q144,C144,PY,10000,7,2024-01-13,2024-02-12 00:00:00,9300.0,2024-01-13,Draft,
Q145,C145,PY,10000,12,2024-02-28,2024-03-29 00:00:00,8800.0,2024-02-28,Converted,
Q146,C146,BY,4000,10,2024-01-25,2024-02-24 00:00:00,3600.0,2024-01-25,Approved,
Q147,C147,BY,4000,7,2024-01-22,2024-02-21 00:00:00,3719.9999999999995,2024-01-22,Approved,
Q148,C148,BY,4000,9,2024-02-15,2024-03-16 00:00:00,3640.0,2024-02-15,Draft,
Q149,C149,BM,400,4,2024-02-02,2024-03-03 00:00:00,384.0,2024-02-02,Converted,
Q150,C150,PY,10000,1,2024-02-06,2024-03-07 00:00:00,9900.0,2024-02-06,Rejected,
Q151,C151,BY,4000,8,2024-02-22,2024-03-23 00:00:00,3680.0,2024-02-22,Draft,
Q152,C152,BY,4000,10,2024-01-07,2024-02-06 00:00:00,3600.0,2024-01-07,Draft,
Q153,C153,BM,400,10,2024-01-23,2024-02-22 00:00:00,360.0,2024-01-23,Draft,
Q154,C154,BY,4000,5,2024-01-06,2024-02-05 00:00:00,3800.0,2024-01-06,Rejected,
Q155,C155,BM,400,2,2024-01-15,2024-02-14 00:00:00,392.0,2024-01-15,Draft,
Q156,C156,PM,1000,0,2024-01-15,2024-02-14 00:00:00,1000.0,2024-01-15,Approved,
Q157,C157,BY,4000,10,2024-02-09,2024-03-10 00:00:00,3600.0,2024-02-09,Converted,
Q158,C158,PM,1000,11,2024-02-03,2024-03-04 00:00:00,890.0,2024-02-03,Rejected,
Q159,C159,BM,400,4,2024-01-14,2024-02-13 00:00:00,384.0,2024-01-14,Approved,
Q160,C160,PY,10000,3,2024-01-29,2024-02-28 00:00:00,9700.0,2024-01-29,Draft,
Q161,C161,BY,4000,10,2024-01-16,2024-02-15 00:00:00,3600.0,2024-01-16,Rejected,
Q162,C162,BM,400,10,2024-01-29,2024-02-28 00:00:00,360.0,2024-01-29,Draft,
Q163,C163,PY,10000,12,2024-01-23,2024-02-22 00:00:00,8800.0,2024-01-23,Draft,
Q164,C164,PY,10000,3,2024-01-10,2024-02-09 00:00:00,9700.0,2024-01-10,Converted,
Q165,C165,PM,1000,8,2024-02-16,2024-03-17 00:00:00,920.0,2024-02-16,Converted,
Q166,C166,BM,400,10,2024-02-24,2024-03-25 00:00:00,360.0,2024-02-24,Draft,
Q167,C167,PY,10000,5,2024-01-04,2024-02-03 00:00:00,9500.0,2024-01-04,Rejected,
Q168,C168,BY,4000,7,2024-01-12,2024-02-11 00:00:00,3719.9999999999995,2024-01-12,Approved,
Q169,C169,BY,4000,8,2024-02-11,2024-03-12 00:00:00,3680.0,2024-02-11,Approved,
Q170,C170,PM,1000,12,2024-02-03,2024-03-04 00:00:00,880.0,2024-02-03,Rejected,
Q171,C171,PY,10000,0,2024-01-04,2024-02-03 00:00:00,10000.0,2024-01-04,Rejected,
Q172,C172,BM,400,6,2024-01-20,2024-02-19 00:00:00,376.0,2024-01-20,Rejected,
Q173,C173,BY,4000,6,2024-01-28,2024-02-27 00:00:00,3760.0,2024-01-28,Approved,
Q174,C174,PY,10000,13,2024-01-28,2024-02-27 00:00:00,8700.0,2024-01-28,Converted,
Q175,C175,PY,10000,14,2024-01-06,2024-02-05 00:00:00,8600.0,2024-01-06,Approved,
Q176,C176,PM,1000,13,2024-01-14,2024-02-13 00:00:00,870.0,2024-01-14,Converted,
Q177,C177,BY,4000,8,2024-02-24,2024-03-25 00:00:00,3680.0,2024-02-24,Draft,
Q178,C178,BY,4000,0,2024-02-04,,4000.0,2024-02-04,Draft,
Q179,C179,BM,400,1,2024-02-16,2024-03-17 00:00:00,396.0,2024-02-16,Draft,
Q180,C180,BY,4000,10,2024-02-27,2024-03-28 00:00:00,3600.0,2024-02-27,Rejected,
Q181,C181,BM,400,5,2024-01-01,,380.0,2024-01-01,Draft,
Q182,C182,BY,4000,3,2024-01-19,2024-02-18 00:00:00,3880.0,2024-01-19,Draft,
Q183,C183,PM,1000,4,2024-02-26,2024-03-27 00:00:00,960.0,2024-02-26,Approved,
Q184,C184,BY,4000,10,2024-01-01,,3600.0,2024-01-01,Rejected,
Q185,C185,BM,400,4,2024-01-13,2024-02-12 00:00:00,384.0,2024-01-13,Rejected,
Q186,C186,BM,400,9,2024-01-08,2024-02-07 00:00:00,364.0,2024-01-08,Converted,
Q187,C187,PM,1000,0,2024-01-18,2024-02-17 00:00:00,1000.0,2024-01-18,Draft,
Q188,C188,BY,4000,0,2024-02-23,2024-03-24 00:00:00,4000.0,2024-02-23,Draft,
Q189,C189,BY,4000,10,2024-02-04,,3600.0,2024-02-04,Approved,
Q190,C190,PM,1000,6,2024-01-23,,940.0,2024-01-23,Approved,
Q191,C191,BY,4000,2,2024-02-19,2024-03-20 00:00:00,3920.0,2024-02-19,Converted,
Q192,C192,BY,4000,4,2024-02-21,2024-03-22 00:00:00,3840.0,2024-02-21,Rejected,
Q193,C193,BM,400,7,2024-01-26,2024-02-25 00:00:00,372.0,2024-01-26,Rejected,
Q194,C194,BY,4000,4,2024-02-10,2024-03-11 00:00:00,3840.0,2024-02-10,Approved,
Q195,C195,BY,4000,9,2024-02-07,2024-03-08 00:00:00,3640.0,2024-02-07,Converted,
Q196,C196,PM,1000,8,2024-01-20,2024-02-19 00:00:00,920.0,2024-01-20,Approved,
Q197,C197,PM,1000,3,2024-01-02,2024-02-01 00:00:00,970.0,2024-01-02,Approved,
Q198,C198,PY,10000,14,2024-01-26,2024-02-25 00:00:00,8600.0,2024-01-26,Approved,
Q199,C199,BM,400,6,2024-02-26,2024-03-27 00:00:00,376.0,2024-02-26,Approved,
Q200,C200,BY,4000,10,2024-02-05,2024-03-06 00:00:00,3600.0,2024-02-05,Rejected,
Q201,C201,BY,4000,10,2024-01-25,2024-02-24 00:00:00,3600.0,2024-01-25,Draft,
Q202,C202,PY,10000,7,2024-01-30,,9300.0,2024-01-30,Converted,
Q203,C203,BY,4000,6,2024-01-18,2024-02-17 00:00:00,3760.0,2024-01-18,Rejected,
Q204,C204,BM,400,10,2024-01-07,2024-02-06 00:00:00,360.0,2024-01-07,Rejected,
Q205,C205,PY,10000,12,2024-01-27,2024-02-26 00:00:00,8800.0,2024-01-27,Draft,
Q206,C206,BM,400,3,2024-01-11,2024-02-10 00:00:00,388.0,2024-01-11,Draft,
Q207,C207,PY,10000,7,2024-02-06,2024-03-07 00:00:00,9300.0,2024-02-06,Converted,
Q208,C208,PY,10000,9,2024-01-08,2024-02-07 00:00:00,9100.0,2024-01-08,Draft,
Q209,C209,PM,1000,10,2024-01-11,2024-02-10 00:00:00,900.0,2024-01-11,Draft,
Q210,C210,BM,400,9,2024-01-24,2024-02-23 00:00:00,364.0,2024-01-24,Converted,
Q211,C211,BY,4000,10,2024-01-30,2024-02-29 00:00:00,3600.0,2024-01-30,Converted,
Q212,C212,BY,4000,9,2024-01-30,2024-02-29 00:00:00,3640.0,2024-01-30,Rejected,
Q213,C213,BM,400,10,2024-02-21,2024-03-22 00:00:00,360.0,2024-02-21,Converted,
Q214,C214,BY,4000,3,2024-02-21,2024-03-22 00:00:00,3880.0,2024-02-21,Draft,
Q215,C215,BY,4000,9,2024-01-15,2024-02-14 00:00:00,3640.0,2024-01-15,Rejected,
Q216,C216,BM,400,10,2024-02-25,2024-03-26 00:00:00,360.0,2024-02-25,Approved,
Q217,C217,PY,10000,11,2024-02-04,2024-03-05 00:00:00,8900.0,2024-02-04,Approved,
Q218,C218,BM,400,7,2024-02-08,2024-03-09 00:00:00,372.0,2024-02-08,Approved,
Q219,C219,PY,10000,7,2024-01-24,2024-02-23 00:00:00,9300.0,2024-01-24,Approved,
Q220,C220,BY,4000,3,2024-01-08,2024-02-07 00:00:00,3880.0,2024-01-08,Rejected,
Q221,C221,BY,4000,4,2024-02-12,2024-03-13 00:00:00,3840.0,2024-02-12,Converted,
Q222,C222,BY,4000,4,2024-02-11,2024-03-12 00:00:00,3840.0,2024-02-11,Converted,
Q223,C223,PM,1000,4,2024-01-20,2024-02-19 00:00:00,960.0,2024-01-20,Approved,
Q224,C224,PY,10000,2,2024-02-10,2024-03-11 00:00:00,9800.0,2024-02-10,Rejected,
Q225,C225,PM,1000,12,2024-02-16,2024-03-17 00:00:00,880.0,2024-02-16,Approved,
Q226,C226,PM,1000,1,2024-01-26,2024-02-25 00:00:00,990.0,2024-01-26,Draft,
Q227,C227,BM,400,10,2024-02-21,2024-03-22 00:00:00,360.0,2024-02-21,Converted,
Q228,C228,PM,1000,0,2024-01-24,2024-02-23 00:00:00,1000.0,2024-01-24,Converted,
Q229,C229,BM,400,10,2024-01-22,2024-02-21 00:00:00,360.0,2024-01-22,Converted,
Q230,C230,BM,400,2,2024-01-05,2024-02-04 00:00:00,392.0,2024-01-05,Approved,
Q231,C231,PM,1000,8,2024-01-15,2024-02-14 00:00:00,920.0,2024-01-15,Converted,
Q232,C232,PY,10000,6,2024-02-05,2024-03-06 00:00:00,9400.0,2024-02-05,Converted,
Q233,C233,PY,10000,1,2024-02-06,2024-03-07 00:00:00,9900.0,2024-02-06,Draft,
Q234,C234,PY,10000,10,2024-01-29,2024-02-28 00:00:00,9000.0,2024-01-29,Converted,
Q235,C235,PY,10000,7,2024-01-15,2024-02-14 00:00:00,9300.0,2024-01-15,Draft,
Q236,C236,PY,10000,10,2024-01-27,2024-02-26 00:00:00,9000.0,2024-01-27,Converted,
Q237,C237,PM,1000,12,2024-02-18,2024-03-19 00:00:00,880.0,2024-02-18,Approved,
Q238,C238,PM,1000,13,2024-02-24,2024-03-25 00:00:00,870.0,2024-02-24,Rejected,
Q239,C239,BY,4000,7,2024-01-08,2024-02-07 00:00:00,3719.9999999999995,2024-01-08,Rejected,
Q240,C240,PY,10000,15,2024-02-29,,8500.0,2024-02-29,Draft,
Q241,C241,PM,1000,11,2024-02-26,2024-03-27 00:00:00,890.0,2024-02-26,Amended,2024-07-27 00:00:00
Q242,C242,BY,4000,10,2024-01-29,2024-02-28 00:00:00,3600.0,2024-01-29,Converted,
Q243,C243,PY,10000,5,2024-01-19,2024-02-18 00:00:00,9500.0,2024-01-19,Rejected,
Q244,C244,BM,400,10,2024-01-31,2024-03-01 00:00:00,360.0,2024-01-31,Approved,
Q245,C245,BY,4000,1,2024-01-09,2024-02-08 00:00:00,3960.0,2024-01-09,Approved,
Q246,C246,PM,1000,14,2024-01-10,2024-02-09 00:00:00,860.0,2024-01-10,Draft,
Q247,C247,BM,400,3,2024-02-06,2024-03-07 00:00:00,388.0,2024-02-06,Converted,
Q248,C248,BM,400,0,2024-01-10,2024-02-09 00:00:00,400.0,2024-01-10,Rejected,
Q249,C249,BM,400,6,2024-02-23,2024-03-24 00:00:00,376.0,2024-02-23,Rejected,
Q250,C250,BY,4000,10,2024-02-02,2024-03-03 00:00:00,3600.0,2024-02-02,Approved,
Q251,C251,PM,1000,10,2024-01-25,2024-02-24 00:00:00,900.0,2024-01-25,Converted,
Q252,C252,BM,400,1,2024-02-26,2024-03-27 00:00:00,396.0,2024-02-26,Converted,
Q253,C253,PY,10000,5,2024-02-23,2024-03-24 00:00:00,9500.0,2024-02-23,Rejected,
Q254,C254,BM,400,8,2024-02-25,2024-03-26 00:00:00,368.0,2024-02-25,Converted,
Q255,C255,BM,400,4,2024-01-04,2024-02-03 00:00:00,384.0,2024-01-04,Approved,
Q256,C256,BY,4000,4,2024-02-22,2024-03-23 00:00:00,3840.0,2024-02-22,Converted,
Q257,C257,BY,4000,3,2024-01-05,2024-02-04 00:00:00,3880.0,2024-01-05,Approved,
Q258,C258,PM,1000,0,2024-01-23,2024-02-22 00:00:00,1000.0,2024-01-23,Approved,
Q259,C259,PY,10000,3,2024-02-08,2024-03-09 00:00:00,9700.0,2024-02-08,Converted,
Q260,C260,BY,4000,8,2024-02-24,2024-03-25 00:00:00,3680.0,2024-02-24,Approved,
Q261,C261,BM,400,10,2024-01-05,2024-02-04 00:00:00,360.0,2024-01-05,Approved,
Q262,C262,PM,1000,8,2024-02-21,2024-03-22 00:00:00,920.0,2024-02-21,Converted,
Q263,C263,BM,400,6,2024-01-08,2024-02-07 00:00:00,376.0,2024-01-08,Amended,2024-04-12 00:00:00
Q264,C264,BM,400,10,2024-01-17,2024-02-16 00:00:00,360.0,2024-01-17,Draft,
Q265,C265,BY,4000,3,2024-01-01,2024-01-31 00:00:00,3880.0,2024-01-01,Approved,
Q266,C266,PM,1000,12,2024-02-23,2024-03-24 00:00:00,880.0,2024-02-23,Approved,
Q267,C267,PY,10000,8,2024-02-19,2024-03-20 00:00:00,9200.0,2024-02-19,Converted,
Q268,C268,PY,10000,4,2024-01-12,,9600.0,2024-01-12,Approved,
Q269,C269,BY,4000,10,2024-02-04,2024-03-05 00:00:00,3600.0,2024-02-04,Approved,
Q270,C270,BY,4000,10,2024-02-21,2024-03-22 00:00:00,3600.0,2024-02-21,Approved,
Q271,C271,PM,1000,9,2024-01-14,2024-02-13 00:00:00,910.0,2024-01-14,Converted,
Q272,C272,PY,10000,12,2024-02-17,2024-03-18 00:00:00,8800.0,2024-02-17,Draft,
