subscription_id,event_type,month,plan_id,start_month,end_month
S455,downgrade,9.0,BM,,
S456,downgrade,9.0,BM,,
S461,downgrade,5.0,BM,,
S462,pause,,,5.0,7.0
S463,downgrade,8.0,BM,,
S463,pause,,,4.0,6.0
S466,downgrade,4.0,BM,,
S471,pause,,,7.0,9.0
S472,downgrade,5.0,BM,,
S474,downgrade,7.0,BM,,
S474,pause,,,6.0,7.0
S475,cancel,7.0,,,
S476,cancel,7.0,,,
S478,pause,,,4.0,6.0
S478,cancel,6.0,,,
S482,downgrade,5.0,BM,,
S483,pause,,,5.0,7.0
S489,downgrade,7.0,BM,,
S490,downgrade,4.0,BM,,
S490,cancel,7.0,,,
S491,pause,,,4.0,5.0
S495,pause,,,3.0,5.0
S496,downgrade,4.0,BM,,
S500,pause,,,7.0,9.0
S502,downgrade,7.0,BM,,
S504,downgrade,8.0,BM,,
S504,pause,,,7.0,9.0
S507,downgrade,7.0,BM,,
S507,pause,,,5.0,6.0
S511,cancel,9.0,,,
S513,cancel,9.0,,,
S514,downgrade,3.0,BM,,
S515,cancel,10.0,,,
S516,downgrade,8.0,BM,,
S516,cancel,8.0,,,
S520,downgrade,4.0,BM,,
S524,downgrade,5.0,BM,,
S525,downgrade,5.0,BM,,
S526,cancel,10.0,,,
S528,pause,,,4.0,5.0
S532,pause,,,6.0,7.0
S534,pause,,,3.0,5.0
S536,downgrade,5.0,BM,,
S537,cancel,10.0,,,
S539,pause,,,5.0,6.0
S543,downgrade,3.0,BM,,
S545,pause,,,6.0,8.0
S547,downgrade,7.0,BM,,
S547,pause,,,5.0,7.0
S554,downgrade,3.0,BM,,
S556,downgrade,4.0,BM,,
S560,pause,,,6.0,8.0
S560,cancel,7.0,,,
S562,downgrade,5.0,BM,,
S562,pause,,,3.0,4.0
S563,pause,,,6.0,7.0
S571,pause,,,4.0,6.0
S574,pause,,,6.0,7.0
S579,downgrade,7.0,BM,,
S585,pause,,,6.0,8.0
S588,downgrade,4.0,BM,,
S588,pause,,,7.0,8.0
S589,downgrade,4.0,BM,,
S589,pause,,,4.0,6.0
S591,pause,,,6.0,8.0
S592,downgrade,8.0,BM,,
S592,pause,,,4.0,6.0
S594,pause,,,4.0,6.0
S595,downgrade,8.0,BM,,
S596,cancel,5.0,,,
S597,downgrade,9.0,BM,,
S598,downgrade,7.0,BM,,
S600,pause,,,7.0,9.0
S601,downgrade,8.0,BM,,
S608,downgrade,9.0,BM,,
S610,pause,,,6.0,8.0
S612,downgrade,3.0,BM,,
S618,downgrade,7.0,BM,,
S621,downgrade,6.0,BM,,
S622,pause,,,4.0,5.0
S623,pause,,,6.0,7.0
S625,downgrade,6.0,BM,,
S625,cancel,11.0,,,
S626,pause,,,6.0,8.0
S627,cancel,9.0,,,
S632,cancel,5.0,,,
S635,downgrade,4.0,BM,,
S636,downgrade,7.0,BM,,
S637,pause,,,6.0,8.0
S642,pause,,,7.0,9.0
S643,downgrade,3.0,BM,,
S644,pause,,,4.0,6.0
S646,downgrade,9.0,BM,,
S652,pause,,,5.0,6.0
S658,downgrade,8.0,BM,,
S658,pause,,,3.0,5.0
S661,downgrade,5.0,BM,,
S663,downgrade,9.0,BM,,
S663,pause,,,3.0,5.0
S665,downgrade,6.0,BM,,
S665,pause,,,7.0,8.0
S671,cancel,7.0,,,
S672,cancel,8.0,,,
S673,pause,,,7.0,8.0
S676,cancel,8.0,,,
S677,downgrade,7.0,BM,,
S679,pause,,,3.0,5.0
S684,pause,,,5.0,7.0
S688,downgrade,4.0,BM,,
S689,cancel,7.0,,,
S695,pause,,,3.0,5.0
S695,cancel,9.0,,,
S696,pause,,,5.0,6.0
S698,pause,,,3.0,5.0
S699,downgrade,8.0,BM,,
S700,downgrade,3.0,BM,,
S703,pause,,,7.0,8.0
S703,cancel,10.0,,,
S705,downgrade,6.0,BM,,
S710,downgrade,4.0,BM,,
S713,downgrade,5.0,BM,,
S713,pause,,,6.0,8.0
S714,pause,,,6.0,8.0
S721,downgrade,3.0,BM,,
S722,pause,,,7.0,9.0
S724,downgrade,8.0,BM,,
S731,downgrade,6.0,BM,,
S731,pause,,,3.0,5.0
S734,downgrade,8.0,BM,,
S734,pause,,,6.0,8.0
S735,cancel,6.0,,,
S737,downgrade,6.0,BM,,
S737,pause,,,5.0,6.0
S738,pause,,,6.0,8.0
S739,pause,,,7.0,8.0
S741,pause,,,4.0,6.0
S743,downgrade,5.0,BM,,
S743,pause,,,3.0,5.0
S750,downgrade,3.0,BM,,
S750,pause,,,7.0,8.0
S751,downgrade,9.0,BM,,
S754,pause,,,3.0,4.0
S756,downgrade,4.0,BM,,
S757,pause,,,5.0,6.0
S759,pause,,,3.0,5.0
S759,cancel,9.0,,,
S761,downgrade,7.0,BM,,
S762,pause,,,6.0,7.0
S763,pause,,,6.0,7.0
S765,downgrade,8.0,BM,,
S766,cancel,6.0,,,
S769,pause,,,3.0,4.0
S770,pause,,,7.0,8.0
S771,downgrade,7.0,BM,,
S772,pause,,,5.0,7.0
S773,downgrade,6.0,BM,,
S775,cancel,6.0,,,
S776,cancel,11.0,,,
S777,downgrade,4.0,BM,,
S777,pause,,,4.0,6.0
S778,pause,,,6.0,7.0
S780,downgrade,8.0,BM,,
S781,downgrade,6.0,BM,,
S781,pause,,,7.0,9.0
S781,cancel,11.0,,,
S782,pause,,,6.0,7.0
S783,downgrade,8.0,BM,,
S784,pause,,,6.0,8.0
S789,pause,,,5.0,7.0
S790,pause,,,7.0,8.0
S791,cancel,5.0,,,
S793,downgrade,3.0,BM,,
S795,downgrade,3.0,BM,,
S795,cancel,10.0,,,
S799,cancel,6.0,,,
S804,pause,,,6.0,7.0
S809,downgrade,8.0,BM,,
S809,pause,,,4.0,6.0
S810,pause,,,7.0,8.0
S812,downgrade,8.0,BM,,
S813,downgrade,5.0,BM,,
S813,pause,,,6.0,8.0
S815,downgrade,5.0,BM,,
S817,downgrade,6.0,BM,,
S818,cancel,11.0,,,
S819,downgrade,3.0,BM,,
S821,cancel,11.0,,,
S822,cancel,11.0,,,
S825,downgrade,4.0,BM,,
S825,pause,,,6.0,7.0
S827,downgrade,7.0,BM,,
S827,pause,,,3.0,4.0
S827,cancel,7.0,,,
S829,downgrade,7.0,BM,,
S831,downgrade,3.0,BM,,
S832,downgrade,6.0,BM,,
S833,downgrade,3.0,BM,,
S836,pause,,,3.0,4.0
S838,pause,,,5.0,7.0
S839,downgrade,4.0,BM,,
S844,pause,,,6.0,7.0
S846,downgrade,4.0,BM,,
S848,downgrade,3.0,BM,,
S851,downgrade,8.0,BM,,
S851,cancel,7.0,,,
S852,downgrade,8.0,BM,,
S854,cancel,9.0,,,
S855,cancel,8.0,,,
S858,downgrade,9.0,BM,,
S860,cancel,6.0,,,
S862,downgrade,9.0,BM,,
S865,downgrade,5.0,BM,,
S866,downgrade,4.0,BM,,
S868,downgrade,7.0,BM,,
S869,pause,,,4.0,5.0
S875,pause,,,5.0,7.0
S876,downgrade,5.0,BM,,
S884,downgrade,8.0,BM,,
S886,downgrade,4.0,BM,,
S887,cancel,9.0,,,
S891,downgrade,5.0,BM,,
S891,pause,,,7.0,9.0
S892,cancel,10.0,,,
S894,cancel,9.0,,,
S895,downgrade,6.0,BM,,
S896,cancel,8.0,,,
S898,downgrade,5.0,BM,,
S901,pause,,,3.0,4.0
S908,pause,,,4.0,6.0
S911,pause,,,5.0,6.0
S912,pause,,,4.0,6.0
S917,downgrade,7.0,BM,,
S919,pause,,,7.0,9.0
S920,pause,,,3.0,4.0
S920,cancel,6.0,,,
S922,downgrade,3.0,BM,,
S922,pause,,,4.0,5.0
S924,downgrade,6.0,BM,,
S924,cancel,11.0,,,
S929,downgrade,3.0,BM,,
S929,pause,,,4.0,5.0
S932,downgrade,8.0,BM,,
S932,cancel,5.0,,,
S937,downgrade,5.0,BM,,
S940,downgrade,3.0,BM,,
S941,pause,,,6.0,8.0
S945,pause,,,3.0,5.0
S947,downgrade,9.0,BM,,
S948,pause,,,7.0,9.0
S950,pause,,,6.0,8.0
S955,pause,,,5.0,7.0
S957,cancel,5.0,,,
S958,cancel,7.0,,,
S959,pause,,,7.0,8.0
S960,cancel,11.0,,,
S962,pause,,,3.0,4.0
S963,downgrade,6.0,BM,,
S963,pause,,,4.0,5.0
S970,downgrade,8.0,BM,,
S975,downgrade,4.0,BM,,
S976,downgrade,4.0,BM,,
S976,pause,,,6.0,8.0
S977,cancel,8.0,,,
S978,downgrade,9.0,BM,,
S982,pause,,,5.0,7.0
S986,downgrade,7.0,BM,,
S987,downgrade,3.0,BM,,
S987,pause,,,6.0,7.0
S988,downgrade,3.0,BM,,
S991,pause,,,7.0,9.0
S993,downgrade,5.0,BM,,
S993,pause,,,5.0,7.0
S998,downgrade,4.0,BM,,
S1006,downgrade,3.0,BM,,
S1008,downgrade,6.0,BM,,
S1009,downgrade,7.0,BM,,
S1009,pause,,,4.0,6.0
S1013,cancel,5.0,,,
S1015,pause,,,3.0,5.0
S1016,pause,,,3.0,4.0
S1016,cancel,11.0,,,
S1023,pause,,,3.0,5.0
S1028,downgrade,8.0,BM,,
S1028,cancel,7.0,,,
S1030,pause,,,3.0,5.0
S1032,downgrade,3.0,BM,,
S1033,pause,,,3.0,5.0
S1034,cancel,11.0,,,
S1035,downgrade,7.0,BM,,
S1037,pause,,,3.0,5.0
S1040,pause,,,4.0,6.0
S1041,downgrade,3.0,BM,,
S1042,pause,,,3.0,4.0
S1048,pause,,,5.0,6.0
S1048,cancel,6.0,,,
S1051,pause,,,7.0,9.0
S1051,cancel,6.0,,,
S1053,pause,,,6.0,8.0
S1053,cancel,10.0,,,
S1055,downgrade,7.0,BM,,
S1057,downgrade,8.0,BM,,
S1059,pause,,,4.0,6.0
S1060,pause,,,3.0,4.0
S1061,pause,,,6.0,7.0
S1063,pause,,,4.0,6.0
S1064,pause,,,4.0,6.0
S1065,cancel,11.0,,,
S1066,downgrade,7.0,BM,,
S1067,downgrade,5.0,BM,,
S1067,pause,,,4.0,5.0
S1072,downgrade,6.0,BM,,
S1072,cancel,6.0,,,
S1073,downgrade,5.0,BM,,
S1076,cancel,8.0,,,
S1078,downgrade,9.0,BM,,
S1082,downgrade,4.0,BM,,
S1082,cancel,7.0,,,
S1085,downgrade,7.0,BM,,
S1086,downgrade,8.0,BM,,
S1089,pause,,,7.0,8.0
S1091,downgrade,7.0,BM,,
S1093,pause,,,3.0,4.0
S1094,downgrade,5.0,BM,,
S1095,downgrade,5.0,BM,,
S1097,cancel,8.0,,,
S1098,pause,,,3.0,5.0
S1099,downgrade,5.0,BM,,
S1102,downgrade,3.0,BM,,
S1103,downgrade,8.0,BM,,
S1103,pause,,,4.0,5.0
S1106,pause,,,5.0,7.0
S1108,pause,,,3.0,4.0
S1110,downgrade,8.0,BM,,
S1110,cancel,10.0,,,
S1111,pause,,,3.0,4.0
S1113,pause,,,6.0,7.0
S1114,downgrade,7.0,BM,,
S1116,pause,,,5.0,6.0
S1120,pause,,,3.0,5.0
S1122,cancel,10.0,,,
S1123,pause,,,4.0,6.0
S1131,pause,,,5.0,7.0
S1131,cancel,8.0,,,
S1133,pause,,,5.0,6.0
S1133,cancel,10.0,,,
S1135,downgrade,6.0,BM,,
S1136,cancel,9.0,,,
S1138,downgrade,6.0,BM,,
S1140,downgrade,8.0,BM,,
S1142,downgrade,3.0,BM,,
S1142,pause,,,6.0,7.0
S1143,pause,,,7.0,9.0
S1144,downgrade,7.0,BM,,
S1145,pause,,,7.0,9.0
S1150,cancel,11.0,,,
S1154,pause,,,3.0,5.0
S1164,cancel,5.0,,,
S1166,pause,,,6.0,7.0
S1172,downgrade,9.0,BM,,
S1177,downgrade,7.0,BM,,
S1182,downgrade,9.0,BM,,
S1186,downgrade,9.0,BM,,
S1187,downgrade,3.0,BM,,
S1187,pause,,,5.0,6.0
S1193,downgrade,3.0,BM,,
S1193,cancel,11.0,,,
S1195,pause,,,6.0,8.0
S1195,cancel,9.0,,,
S1198,cancel,10.0,,,
S1199,pause,,,6.0,8.0
S1202,pause,,,6.0,8.0
S1206,pause,,,7.0,9.0
S1206,cancel,11.0,,,
S1207,downgrade,9.0,BM,,
S1207,pause,,,6.0,8.0
S1207,cancel,8.0,,,
S1210,pause,,,3.0,5.0
S1211,downgrade,9.0,BM,,
S1214,downgrade,4.0,BM,,
S1214,pause,,,3.0,4.0
S1214,cancel,8.0,,,
S1215,downgrade,8.0,BM,,
S1215,pause,,,3.0,5.0
S1216,pause,,,6.0,7.0
S1220,pause,,,6.0,8.0
S1221,downgrade,8.0,BM,,
S1224,downgrade,8.0,BM,,
S1226,downgrade,5.0,BM,,
S1227,cancel,9.0,,,
S1230,pause,,,3.0,5.0
S1231,pause,,,6.0,8.0
S1232,cancel,11.0,,,
S1235,pause,,,3.0,5.0
S1238,pause,,,4.0,5.0
S1238,cancel,8.0,,,
S1240,downgrade,8.0,BM,,
S1242,downgrade,7.0,BM,,
S1243,downgrade,5.0,BM,,
S1243,cancel,7.0,,,
S1244,pause,,,4.0,5.0
S1244,cancel,11.0,,,
S1245,cancel,11.0,,,
S1252,pause,,,3.0,5.0
S1254,pause,,,6.0,8.0
S1254,cancel,9.0,,,
S1259,pause,,,3.0,4.0
S1259,cancel,7.0,,,
S1263,pause,,,4.0,6.0
S1265,cancel,9.0,,,
S1266,pause,,,5.0,7.0
S1269,pause,,,5.0,7.0
S1270,pause,,,4.0,6.0
S1273,downgrade,3.0,BM,,
S1275,cancel,8.0,,,
S1276,downgrade,4.0,BM,,
S1277,downgrade,3.0,BM,,
S1280,cancel,6.0,,,
S1281,pause,,,4.0,5.0
S1282,downgrade,9.0,BM,,
S1285,pause,,,3.0,5.0
S1287,downgrade,3.0,BM,,
S1287,pause,,,5.0,6.0
S1287,cancel,8.0,,,
S1289,downgrade,9.0,BM,,
S1291,downgrade,5.0,BM,,
S1295,downgrade,9.0,BM,,
S1305,pause,,,7.0,9.0
S1306,downgrade,8.0,BM,,
S1309,pause,,,4.0,6.0
S1311,downgrade,5.0,BM,,
S1311,pause,,,6.0,8.0
S1312,downgrade,8.0,BM,,
S1313,downgrade,5.0,BM,,
S1314,cancel,11.0,,,
S1316,pause,,,3.0,5.0
S1317,downgrade,5.0,BM,,
S1320,downgrade,5.0,BM,,
S1320,cancel,11.0,,,
S1323,pause,,,3.0,5.0
S1330,downgrade,8.0,BM,,
S1334,cancel,9.0,,,
S1339,downgrade,3.0,BM,,
S1341,cancel,11.0,,,
S1349,pause,,,7.0,8.0
S1350,downgrade,7.0,BM,,
S1353,downgrade,3.0,BM,,
S1354,pause,,,3.0,4.0
S1354,cancel,10.0,,,
S1355,cancel,7.0,,,
S1359,pause,,,3.0,4.0
S1360,cancel,7.0,,,
S1361,downgrade,4.0,BM,,
S1362,downgrade,3.0,BM,,
S1369,downgrade,7.0,BM,,
S1373,cancel,5.0,,,
S1374,downgrade,7.0,BM,,
S1375,pause,,,5.0,7.0
S1376,downgrade,6.0,BM,,
S1377,cancel,10.0,,,
S1378,pause,,,7.0,9.0
S1387,downgrade,7.0,BM,,
S1388,pause,,,7.0,8.0
S1389,pause,,,4.0,5.0
S1390,downgrade,9.0,BM,,
S1390,pause,,,3.0,5.0
S1392,cancel,10.0,,,
S1394,pause,,,7.0,8.0
S1397,downgrade,8.0,BM,,
S1398,cancel,10.0,,,
S1402,pause,,,3.0,4.0
S1406,cancel,5.0,,,
S1407,pause,,,6.0,8.0
S1412,downgrade,7.0,BM,,
S1416,pause,,,5.0,6.0
S1417,downgrade,5.0,BM,,
S1417,pause,,,5.0,6.0
S1422,downgrade,4.0,BM,,
S1423,downgrade,7.0,BM,,
S1424,downgrade,4.0,BM,,
S1424,cancel,8.0,,,
S1426,pause,,,4.0,6.0
S1426,cancel,10.0,,,
S1429,downgrade,7.0,BM,,
S1430,pause,,,3.0,5.0
S1431,pause,,,5.0,7.0
S1432,downgrade,5.0,BM,,
S1435,pause,,,4.0,6.0
S1437,pause,,,6.0,8.0
S1438,pause,,,4.0,5.0
S1439,downgrade,5.0,BM,,
S1440,pause,,,7.0,9.0
S1440,cancel,7.0,,,
S1442,downgrade,6.0,BM,,
S1442,cancel,7.0,,,
S1443,pause,,,6.0,7.0
S1452,cancel,7.0,,,
S1453,pause,,,3.0,5.0
S1455,downgrade,3.0,BM,,
S1457,downgrade,5.0,BM,,
S1458,downgrade,9.0,BM,,
S1460,pause,,,7.0,8.0
S1462,downgrade,5.0,BM,,
S1462,pause,,,7.0,9.0
S1466,downgrade,7.0,BM,,
S1473,downgrade,5.0,BM,,
S1475,pause,,,6.0,8.0
S1476,downgrade,4.0,BM,,
S1478,downgrade,8.0,BM,,
S1478,cancel,9.0,,,
S1479,pause,,,5.0,7.0
S1479,cancel,5.0,,,
S1480,pause,,,6.0,7.0
S1481,downgrade,4.0,BM,,
S1481,pause,,,4.0,5.0
S1481,cancel,5.0,,,
S1482,downgrade,8.0,BM,,
S1484,downgrade,8.0,BM,,
S1488,pause,,,3.0,5.0
S1490,downgrade,6.0,BM,,
S1491,pause,,,4.0,6.0
S1492,downgrade,7.0,BM,,
S1492,cancel,6.0,,,
S1493,downgrade,6.0,BM,,
S1494,cancel,7.0,,,
S1495,downgrade,4.0,BM,,
S1495,cancel,11.0,,,
S1497,pause,,,4.0,5.0
S1502,pause,,,7.0,9.0
S1505,pause,,,6.0,8.0
S1506,downgrade,5.0,BM,,
S1507,pause,,,3.0,4.0
S1508,cancel,9.0,,,
S1513,pause,,,4.0,6.0
S1515,pause,,,3.0,5.0
S1516,downgrade,7.0,BM,,
S1516,pause,,,3.0,5.0
S1518,pause,,,6.0,8.0
S1522,downgrade,7.0,BM,,
S1523,downgrade,5.0,BM,,
S1523,cancel,5.0,,,
S1524,pause,,,4.0,5.0
S1525,pause,,,4.0,6.0
S1527,pause,,,3.0,4.0
S1528,cancel,7.0,,,
S1529,pause,,,6.0,8.0
S1532,downgrade,8.0,BM,,
S1535,downgrade,6.0,BM,,
S1536,cancel,10.0,,,
S1538,cancel,6.0,,,
S1548,pause,,,7.0,8.0
S1549,downgrade,3.0,BM,,
S1550,downgrade,4.0,BM,,
S1550,cancel,6.0,,,
S1551,downgrade,7.0,BM,,
S1553,pause,,,4.0,5.0
S1554,downgrade,4.0,BM,,
S1555,downgrade,7.0,BM,,
S1555,pause,,,5.0,6.0
S1558,pause,,,3.0,5.0
S1562,cancel,7.0,,,
S1564,downgrade,8.0,BM,,
S1567,pause,,,4.0,6.0
S1568,pause,,,5.0,7.0
S1570,downgrade,9.0,BM,,
S1578,downgrade,8.0,BM,,
S1580,pause,,,7.0,8.0
S1581,downgrade,8.0,BM,,
S1582,cancel,6.0,,,
S1583,downgrade,9.0,BM,,
S1587,downgrade,3.0,BM,,
S1599,pause,,,7.0,9.0
S1603,pause,,,5.0,7.0
S1605,downgrade,5.0,BM,,
S1605,pause,,,7.0,8.0
S1610,downgrade,3.0,BM,,
S1612,cancel,11.0,,,
S1615,pause,,,7.0,8.0
S1616,pause,,,7.0,9.0
S1622,pause,,,3.0,4.0
S1623,pause,,,6.0,8.0
S1623,cancel,11.0,,,
S1626,downgrade,7.0,BM,,
S1626,pause,,,7.0,9.0
S1627,pause,,,3.0,4.0
S1630,pause,,,3.0,4.0
S1632,pause,,,7.0,9.0
S1633,downgrade,4.0,BM,,
S1635,pause,,,7.0,9.0
S1636,downgrade,3.0,BM,,
S1642,pause,,,4.0,6.0
S1645,downgrade,5.0,BM,,
S1647,downgrade,8.0,BM,,
S1647,cancel,6.0,,,
S1648,downgrade,9.0,BM,,
S1648,pause,,,3.0,5.0
S1649,downgrade,3.0,BM,,
S1651,downgrade,4.0,BM,,
S1652,downgrade,6.0,BM,,
S1657,pause,,,4.0,5.0
S1666,cancel,8.0,,,
S1667,pause,,,4.0,5.0
S1668,pause,,,7.0,8.0
S1671,cancel,8.0,,,
S1673,downgrade,8.0,BM,,
S1673,cancel,7.0,,,
S1675,downgrade,5.0,BM,,
S1675,cancel,11.0,,,
S1676,cancel,5.0,,,
S1677,pause,,,7.0,9.0
S1678,pause,,,7.0,8.0
S1678,cancel,8.0,,,
S1681,cancel,11.0,,,
S1691,pause,,,3.0,5.0
S1695,downgrade,7.0,BM,,
S1698,cancel,9.0,,,
S1700,downgrade,6.0,BM,,
S1704,pause,,,7.0,9.0
S1707,downgrade,4.0,BM,,
S1709,pause,,,6.0,8.0
